"","scientific_name","mean_eye_size","common_name","mass","rel_mean_eye_size"
"74","Phylloscopus magnirostris",3.2780771519,"Large-billed Leaf Warbler",11.6,0.282592857922414
"75","Phylloscopus nitidus",2.9127111107,"Green Warbler",7.8,0.373424501371795
"76","Picus xanthopygaeus",5.6591177615,"Streak-throated Woodpecker",99.7,0.056761462001003
"77","Pomatorhinus horsfieldii",4.6193224752,"Indian Scimitar-Babbler",43,0.107426104074419
"78","Psilopogon malabaricus",4.0174135706,"Malabar Barbet",37.6,0.106846105601064
"79","Psilopogon viridis",6.544475824,"White-cheeked Barbet",80.5,0.0812978363229814
"80","Rubigula gularis",3.6509080503,"Flame-throated Bulbul",29.3,0.124604370317406
"81","Sitta frontalis",3.49217362,"Velvet-fronted Nuthatch",16.5,0.211646886060606
"82","Tephrodornis sylvicola",5.6730295763,"Malabar Woodshrike",37.8,0.150080147521164
"83","Terpsiphone paradisi",4.9539744324,"Indian Paradise-Flycatcher",19.2,0.2580195016875
"84","Treron affinis",5.9078784818,"Gray-fronted Green-Pigeon",234,0.0252473439393162
