Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	674640.7726	674640.8543	294.221	1050.788	0.7726	468.75	468.75	756.567	468.75	0.0817	0.0747	-1245	1173	1245	E:\2020-summer\VAR410U\20200506_053000.WAV	06-05-2020	05:30:01	06-05-2020	05:30:01	GRHO	1	0	
2	Spectrogram 1	1	674663.995	674664.5038	1260.946	2269.702	23.995	1593.75	1687.5	1008.757	843.75	0.5088	0.4373	-996	913	996	E:\2020-summer\VAR410U\20200506_053000.WAV	06-05-2020	05:30:24	06-05-2020	05:30:25	GRTD	1	0	
3	Spectrogram 1	1	674663.0716	674663.6244	1471.103	1975.482	23.0716	1687.5	1781.25	504.378	468.75	0.5528	0.5067	-1247	1020	1247	E:\2020-summer\VAR410U\20200506_053000.WAV	06-05-2020	05:30:23	06-05-2020	05:30:24	MWTH	0	1	
4	Spectrogram 1	1	674725.2701	674725.8857	1387.04	2101.576	85.2701	1875	1781.25	714.536	562.5	0.6156	0.5493	-2305	2198	2305	E:\2020-summer\VAR410U\20200506_053000.WAV	06-05-2020	05:31:25	06-05-2020	05:31:26	CHCU	1	0	
5	Spectrogram 1	1	674759.3467	674759.7236	1429.072	2017.513	119.3467	1875	1875	588.441	375	0.3769	0.3093	-1413	1165	1413	E:\2020-summer\VAR410U\20200506_053000.WAV	06-05-2020	05:31:59	06-05-2020	05:32:00	INPE	1	0	
6	Spectrogram 1	1	674934.6043	674934.7236	2017.513	3446.585	54.6043	2531.25	2531.25	1429.072	1125	0.1193	0.1013	-675	703	703	E:\2020-summer\VAR410U\20200506_053500.WAV	06-05-2020	05:35:55	06-05-2020	05:35:55	STBU	1	0	
7	Spectrogram 1	1	675235.2575	675236.3191	1681.261	2984.238	115.2575	1875	1968.75	1302.977	1125	1.0616	0.96	-795	750	795	E:\2020-summer\VAR410U\20200506_054000.WAV	06-05-2020	05:41:55	06-05-2020	05:41:56	RWBU	1	0	
8	Spectrogram 1	1	675316.7525	675316.9975	1008.757	1513.135	196.7525	1218.75	1218.75	504.378	187.5	0.245	0.1867	-671	751	751	E:\2020-summer\VAR410U\20200506_054000.WAV	06-05-2020	05:43:17	06-05-2020	05:43:17	WCBA	1	0	
9	Spectrogram 1	1	675599.4723	675600	714.536	1134.851	239.4723	937.5	937.5	420.315	375	0.5276	0.4747	-7831	6812	7831	E:\2020-summer\VAR410U\20200506_054500.WAV	06-05-2020	05:48:59	06-05-2020	05:48:59	ISBA	1	0	
10	Spectrogram 1	1	675701.0616	675702.1231	798.599	1513.135	101.0616	1500	1406.25	714.536	281.25	1.0616	0.9547	-18583	22844	22844	E:\2020-summer\VAR410U\20200506_055000.WAV	06-05-2020	05:51:41	06-05-2020	05:51:42	GRJU	1	0	
11	Spectrogram 1	1	676031.8279	676031.897	3488.616	7145.359	191.8279	6468.75	5812.5	3656.743	2625	0.0691	0.0533	-1994	2268	2268	E:\2020-summer\VAR410U\20200506_055500.WAV	06-05-2020	05:58:12	06-05-2020	05:58:12	BRWA	1	0	
12	Spectrogram 1	1	676190.3957	676190.5025	252.189	2017.513	110.3957	1312.5	1500	1765.324	1125	0.1068	0.0907	-1195	1402	1402	E:\2020-summer\VAR410U\20200506_060000.WAV	06-05-2020	06:01:50	06-05-2020	06:01:51	RESP	1	0	
