Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	171.3442	171.8529929	2220.6	2605	171.3442	2437.5	2437.5	384.4	187.5	0.5088	0.4	-3735	4003	4003	E:\2020-summer\PANMP3B\20200314_053500.WAV	14-03-2020	05:37:51	14-03-2020	05:37:52	RWLA	1	0	
2	Spectrogram 1	1	284.8304	284.9371837	1879	3373.7	44.8304	2062.5	2250	1494.7	937.5	0.1068	0.1013	-9167	8730	9167	E:\2020-summer\PANMP3B\20200314_054000.WAV	14-03-2020	05:40:45	14-03-2020	05:40:45	YBBU	1	0	
3	Spectrogram 1	1	410.0942	413.5740922	839.2	2559.4	170.0942	1781.25	2062.5	1720.2	750	3.4799	1.8133	-10816	9902	10816	E:\2020-summer\PANMP3B\20200314_054000.WAV	14-03-2020	05:42:50	14-03-2020	05:42:54	BRDR	0	1	GRTD?
4	Spectrogram 1	1	573.1156	573.7877092	671.3	1007	93.1156	843.75	843.75	335.7	187.5	0.6721	0.5707	-2338	2387	2387	E:\2020-summer\PANMP3B\20200314_054500.WAV	14-03-2020	05:46:33	14-03-2020	05:46:34	SBEO	1	0	
5	Spectrogram 1	1	648.304	649.6293741	1300.7	2014	168.304	1593.75	1593.75	713.3	562.5	1.3254	1.2	-1707	1957	1957	E:\2020-summer\PANMP3B\20200314_054500.WAV	14-03-2020	05:47:48	14-03-2020	05:47:50	MWTH	0	1	
6	Spectrogram 1	1	738.505	739.7361532	545.5	4279.7	18.505	1687.5	2343.75	3734.2	2625	1.2312	0.6613	-4822	4956	4956	E:\2020-summer\PANMP3B\20200314_055500.WAV	14-03-2020	05:55:19	14-03-2020	05:55:20	GRTD	1	0	
7	Spectrogram 1	1	792.7073	792.9208674	1216.8	1888.1	72.7073	1875	1500	671.3	656.25	0.2136	0.1867	-1327	1506	1506	E:\2020-summer\PANMP3B\20200314_055500.WAV	14-03-2020	05:56:13	14-03-2020	05:56:13	LBCR	1	0	
8	Spectrogram 1	1	910.1884	910.3579976	1007	1510.5	190.1884	1312.5	1312.5	503.5	281.25	0.1696	0.1387	-1593	1774	1774	E:\2020-summer\PANMP3B\20200314_055500.WAV	14-03-2020	05:58:10	14-03-2020	05:58:10	MGHO	1	0	
9	Spectrogram 1	1	965.8229	966.2625976	5538.5	7930.1	5.8229	7406.25	7218.75	2391.6	937.5	0.4397	0.272	-3130	3167	3167	E:\2020-summer\PANMP3B\20200314_060000.WAV	14-03-2020	06:00:06	14-03-2020	06:00:06	WBBF	1	0	
10	Spectrogram 1	1	1087.6068	1088.743732	923.1	1636.4	127.6068	1312.5	1312.5	713.3	656.25	1.1369	1.0613	-534	604	604	E:\2020-summer\PANMP3B\20200314_060000.WAV	14-03-2020	06:02:08	14-03-2020	06:02:09	GRJU	1	0	
11	Spectrogram 1	1	1080.9296	1082.468542	3230.8	4699.3	120.9296	4687.5	4031.25	1468.5	1312.5	1.5389	1.3333	-571	655	655	E:\2020-summer\PANMP3B\20200314_060000.WAV	14-03-2020	06:02:01	14-03-2020	06:02:02	IWEY	0	1	
12	Spectrogram 1	1	1124.2839	1124.805256	1510.5	3188.8	164.2839	2906.25	2718.75	1678.3	1312.5	0.5214	0.432	-1619	1506	1619	E:\2020-summer\PANMP3B\20200314_060000.WAV	14-03-2020	06:02:44	14-03-2020	06:02:45	OHTH	1	0	
13	Spectrogram 1	1	1201.005	1201.388165	2559.4	4363.6	1.005	3375	3281.25	1804.2	1031.25	0.3832	0.2827	-1659	1699	1699	E:\2020-summer\PANMP3B\20200314_060500.WAV	14-03-2020	06:05:01	14-03-2020	06:05:01	SHMY	1	0	
14	Spectrogram 1	1	1252.0352	1252.61937	7678.3	8979	52.0352	8343.75	8343.75	1300.7	1125	0.5842	0.5067	-1440	1828	1828	E:\2020-summer\PANMP3B\20200314_060500.WAV	14-03-2020	06:05:52	14-03-2020	06:05:53	BBFL	1	0	
15	Spectrogram 1	1	1291.5075	1291.771319	965	1384.6	91.5075	1218.75	1218.75	419.6	281.25	0.2638	0.24	-608	661	661	E:\2020-summer\PANMP3B\20200314_060500.WAV	14-03-2020	06:06:32	14-03-2020	06:06:32	WCBA	1	0	
16	Spectrogram 1	1	1310.5779	1311.193477	1552.4	2937.1	110.5779	2437.5	2437.5	1384.7	843.75	0.6156	0.5227	-865	975	975	E:\2020-summer\PANMP3B\20200314_060500.WAV	14-03-2020	06:06:51	14-03-2020	06:06:51	PTBA	1	0	
17	Spectrogram 1	1	1440.8103	1441.017586	1594.4	5118.9	0.8103	3187.5	3187.5	3524.5	1031.25	0.2073	0.1707	-2659	2749	2749	E:\2020-summer\PANMP3B\20200314_061000.WAV	14-03-2020	06:10:01	14-03-2020	06:10:01	AFBL	1	0	
18	Spectrogram 1	1	1489.799	1489.968598	103.8	430.2	49.799	281.25	281.25	326.4	187.5	0.1696	0.1227	-1389	1992	1992	E:\2020-summer\PANMP3B\20200314_061000.WAV	14-03-2020	06:10:50	14-03-2020	06:10:50	MIPI	1	0	
19	Spectrogram 1	1	1540.5025	1541.180891	2139.9	3398.6	100.5025	2812.5	2812.5	1258.7	750	0.6784	0.5173	-1997	2166	2166	E:\2020-summer\PANMP3B\20200314_061000.WAV	14-03-2020	06:11:41	14-03-2020	06:11:41	BCFU	1	0	
20	Spectrogram 1	1	1583.1847	1585.52766	4153.8	9230.8	143.1847	6562.5	6375	5077	3468.75	2.343	1.9147	-1074	1166	1166	E:\2020-summer\PANMP3B\20200314_061000.WAV	14-03-2020	06:12:23	14-03-2020	06:12:26	CBSU	0	1	
21	Spectrogram 1	1	1623.5301	1624.528842	671.3	1132.9	183.5301	937.5	937.5	461.6	281.25	0.9987	0.848	-812	787	812	E:\2020-summer\PANMP3B\20200314_061000.WAV	14-03-2020	06:13:04	14-03-2020	06:13:05	ISBA	1	0	
22	Spectrogram 1	1	1800.6156	1800.709821	3356.6	5286.7	120.6156	4031.25	4031.25	1930.1	1593.75	0.0942	0.0853	-519	583	583	E:\2020-summer\PANMP3B\20200314_061500.WAV	14-03-2020	06:17:01	14-03-2020	06:17:01	LISP	1	0	
23	Spectrogram 1	1	1662.5691	1663.347993	1636.4	5622.4	222.5691	2812.5	2906.25	3986	3093.75	0.7789	0.7093	-1416	1771	1771	E:\2020-summer\PANMP3B\20200314_061000.WAV	14-03-2020	06:13:43	14-03-2020	06:13:43	BNMO	1	0	
24	Spectrogram 1	1	1991.5012	1991.827832	293.7	2223.8	71.5012	1687.5	1687.5	1930.1	468.75	0.3266	0.2027	-4125	4027	4125	E:\2020-summer\PANMP3B\20200314_062000.WAV	14-03-2020	06:21:12	14-03-2020	06:21:12	RESP	1	0	
25	Spectrogram 1	1	2333.4045	2333.49244	587.4	1468.5	173.4045	1218.75	1031.25	881.1	656.25	0.0879	0.0693	-616	618	618	E:\2020-summer\PANMP3B\20200314_062500.WAV	14-03-2020	06:27:53	14-03-2020	06:27:53	MATR	1	0	
26	Spectrogram 1	1	2424.0138	2424.409528	1174.8	3062.9	24.0138	1968.75	2062.5	1888.1	1593.75	0.3957	0.3467	-651	766	766	E:\2020-summer\PANMP3B\20200314_063000.WAV	14-03-2020	06:30:24	14-03-2020	06:30:24	RTFL	1	0	
27	Spectrogram 1	1	2481.8907	2482.506277	3272.7	4699.3	81.8907	4312.5	4125	1426.6	937.5	0.6156	0.5067	-773	834	834	E:\2020-summer\PANMP3B\20200314_063000.WAV	14-03-2020	06:31:22	14-03-2020	06:31:23	GHCF	1	0	
28	Spectrogram 1	1	2528.4359	2528.561528	2349.7	5412.6	128.4359	4968.75	4593.75	3062.9	1781.25	0.1256	0.08	-1484	1653	1653	E:\2020-summer\PANMP3B\20200314_063000.WAV	14-03-2020	06:32:08	14-03-2020	06:32:09	PHPA	1	0	
29	Spectrogram 1	1	2662.6445	2663.121886	5580.4	8181.8	22.6445	7312.5	7218.75	2601.4	1687.5	0.4774	0.3787	-1138	1273	1273	E:\2020-summer\PANMP3B\20200314_063500.WAV	14-03-2020	06:35:23	14-03-2020	06:35:23	VHPA	1	0	
30	Spectrogram 1	1	2705.647	2706.036446	1258.7	1636.4	65.647	1500	1500	377.7	187.5	0.3894	0.304	-860	879	879	E:\2020-summer\PANMP3B\20200314_063500.WAV	14-03-2020	06:36:06	14-03-2020	06:36:06	INPE	1	0	
31	Spectrogram 1	1	2823.6621	2823.724914	652.7	979.1	183.6621	843.75	843.75	326.4	281.25	0.0628	0.048	-359	403	403	E:\2020-summer\PANMP3B\20200314_063500.WAV	14-03-2020	06:38:04	14-03-2020	06:38:04	MABA	1	0	
32	Spectrogram 1	1	2930.6344	2930.697214	6167.8	9104.9	50.6344	7125	7218.75	2937.1	1875	0.0628	0.048	-1026	1063	1063	E:\2020-summer\PANMP3B\20200314_064000.WAV	14-03-2020	06:40:51	14-03-2020	06:40:51	NIFP	1	0	
33	Spectrogram 1	1	2984.6859	2986.381876	4951	7049	104.6859	6468.75	6000	2098	1500	1.696	1.4133	-905	1245	1245	E:\2020-summer\PANMP3B\20200314_064000.WAV	14-03-2020	06:41:45	14-03-2020	06:41:46	BWFS	1	0	
34	Spectrogram 1	1	3031.5389	3031.846688	5496.5	6377.6	151.5389	6000	6000	881.1	468.75	0.3078	0.1867	-1524	1923	1923	E:\2020-summer\PANMP3B\20200314_064000.WAV	14-03-2020	06:42:32	14-03-2020	06:42:32	IBRO	1	0	
35	Spectrogram 1	1	3174.956	3175.565295	2097.9	3314.7	54.956	2531.25	2625	1216.8	937.5	0.6093	0.5493	-557	629	629	E:\2020-summer\PANMP3B\20200314_064500.WAV	14-03-2020	06:45:55	14-03-2020	06:45:56	RWBU	1	0	
36	Spectrogram 1	1	3205.8605	3206.074067	3818.2	8307.7	85.8605	5906.25	6000	4489.5	2812.5	0.2136	0.16	-920	1124	1124	E:\2020-summer\PANMP3B\20200314_064500.WAV	14-03-2020	06:46:26	14-03-2020	06:46:26	GRNW	1	0	
37	Spectrogram 1	1	3154.0138	3154.974853	1216.8	3482.5	34.0138	2718.75	2625	2265.7	1125	0.9611	0.8107	-808	903	903	E:\2020-summer\PANMP3B\20200314_064500.WAV	14-03-2020	06:45:34	14-03-2020	06:45:35	COIO	0	1	
38	Spectrogram 1	1	3120.5967	3121.105493	251.7	566.4	0.5967	468.75	468.75	314.7	281.25	0.5088	0.4267	-756	841	841	E:\2020-summer\PANMP3B\20200314_064500.WAV	14-03-2020	06:45:01	14-03-2020	06:45:01	AEDO	1	0	
39	Spectrogram 1	1	3490.8291	3491.59543	2265.7	5916.1	130.8291	5625	5343.75	3650.4	2250	0.7663	0.6293	-629	715	715	E:\2020-summer\PANMP3B\20200314_065000.WAV	14-03-2020	06:52:11	14-03-2020	06:52:12	ORMI	1	0	
40	Spectrogram 1	1	3569.6985	3570.000007	7216.8	8014	209.6985	7500	7500	797.2	281.25	0.3015	0.1653	-946	1147	1147	E:\2020-summer\PANMP3B\20200314_065000.WAV	14-03-2020	06:53:30	14-03-2020	06:53:30	SPPI	0	1	
41	Spectrogram 1	1	3660.1759	3660.885698	3776.2	6042	60.1759	5625	5531.25	2265.8	1875	0.7098	0.544	-988	906	988	E:\2020-summer\PANMP3B\20200314_070000.WAV	14-03-2020	07:01:00	14-03-2020	07:01:01	LBLW	1	0	
42	Spectrogram 1	1	3704.6105	3705.345423	2055.9	3692.3	104.6105	3468.75	3468.75	1636.4	1312.5	0.7349	0.5227	-1034	996	1034	E:\2020-summer\PANMP3B\20200314_070000.WAV	14-03-2020	07:01:45	14-03-2020	07:01:45	COIO	1	0	
43	Spectrogram 1	1	3939.2148	3939.999974	2475.5	3021	99.2148	2718.75	2718.75	545.5	375	0.7852	0.6827	-863	959	959	E:\2020-summer\PANMP3B\20200314_070500.WAV	14-03-2020	07:06:39	14-03-2020	07:06:39	WTKI	1	0	
44	Spectrogram 1	1	4190.157	4191.023832	1678.3	5202.8	110.157	2531.25	3750	3524.5	2718.75	0.8668	0.7733	-858	1032	1032	E:\2020-summer\PANMP3B\20200314_072000.WAV	14-03-2020	07:21:50	14-03-2020	07:21:51	DFBA	1	0	
45	Spectrogram 1	1	4324.8053	4329.101773	1216.8	2097.9	4.8053	2062.5	1593.75	881.1	843.75	4.2965	3.984	-933	1210	1210	E:\2020-summer\PANMP3B\20200314_072500.WAV	14-03-2020	07:25:05	14-03-2020	07:25:09	GFGP	1	0	
46	Spectrogram 1	1	4461.7211	4461.76507	2769.2	6545.5	141.7211	3000	3937.5	3776.3	3375	0.044	0.032	-1138	1319	1319	E:\2020-summer\PANMP3B\20200314_072500.WAV	14-03-2020	07:27:22	14-03-2020	07:27:22	BRWA	1	0	
47	Spectrogram 1	1	4587.3744	4589.566606	2307.7	3230.8	27.3744	2812.5	2812.5	923.1	750	2.1922	1.7973	-753	727	753	E:\2020-summer\PANMP3B\20200314_074500.WAV	14-03-2020	07:45:27	14-03-2020	07:45:30	CHBE	1	0	
48	Spectrogram 1	1	4901.6771	4902.814032	3488.6	5001.8	101.6771	4687.5	4500	1513.2	1125	1.1369	1.0133	-2713	2083	2713	E:\2020-summer\PANMP3B\20200314_075000.WAV	14-03-2020	07:51:42	14-03-2020	07:51:43	HSWO	1	0	
49	Spectrogram 1	1	5102.9083	5103.586691	4581.4	6683	62.9083	4875	5718.75	2101.6	1781.25	0.6784	0.5653	-664	710	710	E:\2020-summer\PANMP3B\20200314_075500.WAV	14-03-2020	07:56:03	14-03-2020	07:56:04	IYTI	1	0	
50	Spectrogram 1	1	5373.9133	5374.930886	2563.9	6977.2	93.9133	4218.75	4218.75	4413.3	3093.75	1.0176	0.848	-476	550	550	E:\2020-summer\PANMP3B\20200314_080500.WAV	14-03-2020	08:06:34	14-03-2020	08:06:35	UK	1	0	
51	Spectrogram 1	1	5442.6005	5443.241202	2227.7	3488.6	162.6005	3281.25	3093.75	1260.9	843.75	0.6407	0.5067	-547	651	651	E:\2020-summer\PANMP3B\20200314_080500.WAV	14-03-2020	08:07:43	14-03-2020	08:07:43	LEYE	1	0	
52	Spectrogram 1	1	5568.2098	5568.712312	1513.1	2521.9	48.2098	2062.5	1875	1008.8	843.75	0.5025	0.4427	-720	827	827	E:\2020-summer\PANMP3B\20200314_082000.WAV	14-03-2020	08:20:48	14-03-2020	08:20:49	COIO	1	0	
53	Spectrogram 1	1	5792.4937	5793.341688	3152.4	4875.7	32.4937	4031.25	4031.25	1723.3	1500	0.848	0.768	-477	666	666	E:\2020-summer\PANMP3B\20200314_082500.WAV	14-03-2020	08:25:32	14-03-2020	08:25:33	CORO	0	1	
54	Spectrogram 1	1	6104.2965	6105.01886	1891.4	2900.2	104.2965	2718.75	2625	1008.8	656.25	0.7224	0.5653	-2309	2811	2811	E:\2020-summer\PANMP3B\20200314_085500.WAV	14-03-2020	08:56:44	14-03-2020	08:56:45	INPI	1	0	
55	Spectrogram 1	1	6258.7311	6259.999942	168.1	525.4	18.7311	375	375	357.3	281.25	1.2688	1.152	-3868	3769	3868	E:\2020-summer\PANMP3B\20200314_091500.WAV	14-03-2020	09:15:19	14-03-2020	09:15:20	GRCO	1		
