Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	1057519.724	1057520	861.9	1278	79.7236	1125	1031.25	416.091	281.25	0.2764	0.2453	-1649	2463	2463	E:\2020-summer\INOA03R\20200509_053000.WAV	09-05-2020	05:31:20	09-05-2020	05:31:19	MWTH	0	1	
2	Spectrogram 1	1	1057586.564	1057590	2017.5	3152.4	146.5641	2625	2718.75	1134.851	750	3.4359	3.2	-1081	1186	1186	E:\2020-summer\INOA03R\20200509_053000.WAV	09-05-2020	05:32:27	09-05-2020	05:32:29	WTKI	1	0	verify
3	Spectrogram 1	1	1057924.705	1057924.812	2017.5	3572.7	4.7048	3093.75	2718.75	1555.166	1125	0.1068	0.0907	-696	725	725	E:\2020-summer\INOA03R\20200509_054000.WAV	09-05-2020	05:40:05	09-05-2020	05:40:05	YBBU	1	0	
4	Spectrogram 1	1	1057932.456	1057932.732	714.5	1218.9	12.456	937.5	937.5	504.378	187.5	0.2764	0.2027	-975	690	975	E:\2020-summer\INOA03R\20200509_054000.WAV	09-05-2020	05:40:12	09-05-2020	05:40:13	SBEO	1	0	verify
5	Spectrogram 1	1	1057970.955	1057971.112	1807.4	2984.2	50.9548	2718.75	2718.75	1176.883	937.5	0.157	0.1333	-710	679	710	E:\2020-summer\INOA03R\20200509_054000.WAV	09-05-2020	05:40:51	09-05-2020	05:40:51	PTBA	1	0	
7	Spectrogram 1	1	1058080.132	1058081.131	2059.5	3362.5	160.1319	3093.75	2812.5	1302.977	843.75	0.9987	0.8267	-753	761	761	E:\2020-summer\INOA03R\20200509_054000.WAV	09-05-2020	05:42:40	09-05-2020	05:42:41	OHTH	1	0	
8	Spectrogram 1	1	1057732.732	1057732.952	882.7	1260.9	52.7324	1031.25	1031.25	378.284	281.25	0.2198	0.1867	-1953	2079	2079	E:\2020-summer\INOA03R\20200509_053500.WAV	09-05-2020	05:35:53	09-05-2020	05:35:53	WCBA	1	0	
9	Spectrogram 1	1	1058165.76	1058166.011	3026.3	4455.3	5.76	3093.75	3750	1429.072	1125	0.2513	0.208	-904	910	910	E:\2020-summer\INOA03R\20200509_054500.WAV	09-05-2020	05:45:06	09-05-2020	05:45:06	SHMY	1	0	
10	Spectrogram 1	1	1058207.644	1058208.046	1639.2	2395.8	47.6445	1875	1968.75	756.567	468.75	0.402	0.2613	-1106	1291	1291	E:\2020-summer\INOA03R\20200509_054500.WAV	09-05-2020	05:45:48	09-05-2020	05:45:48	GRTD	1	0	
11	Spectrogram 1	1	1058227.582	1058228.461	8280.2	9667.3	67.5816	8625	8812.5	1387.04	1031.25	0.8794	0.6773	-1479	1705	1705	E:\2020-summer\INOA03R\20200509_054500.WAV	09-05-2020	05:46:08	09-05-2020	05:46:08	BBFL	1	0	
12	Spectrogram 1	1	1058306.294	1058306.991	672.5	1050.8	146.294	1031.25	1031.25	378.284	187.5	0.6972	0.5387	-1589	1685	1685	E:\2020-summer\INOA03R\20200509_054500.WAV	09-05-2020	05:47:26	09-05-2020	05:47:27	ISBA	1	0	
13	Spectrogram 1	1	1058651.79	1058652.136	1849.4	3068.3	11.7902	2906.25	2156.25	1218.914	1031.25	0.3455	0.2933	-1097	1455	1455	E:\2020-summer\INOA03R\20200509_060000.WAV	09-05-2020	06:00:12	09-05-2020	06:00:12	RWBU	1	0	
14	Spectrogram 1	1	1058730.829	1058730.986	3194.4	4581.4	90.8291	4218.75	4218.75	1387.04	1031.25	0.157	0.1333	-756	820	820	E:\2020-summer\INOA03R\20200509_060000.WAV	09-05-2020	06:01:31	09-05-2020	06:01:31	SHIK	1	0	
15	Spectrogram 1	1	1058739.785	1058739.999	63	294.2	99.785	187.5	187.5	231.173	187.5	0.2136	0.176	-904	996	996	E:\2020-summer\INOA03R\20200509_060000.WAV	09-05-2020	06:01:40	09-05-2020	06:01:40	BFOW	1	0	
16	Spectrogram 1	1	1058910.193	1058911.569	2059.5	3236.4	30.1933	2812.5	2718.75	1176.883	656.25	1.3756	1.088	-1823	1608	1823	E:\2020-summer\INOA03R\20200509_060500.WAV	09-05-2020	06:05:30	09-05-2020	06:05:32	GRFL	1	0	
17	Spectrogram 1	1	1058921.343	1058921.399	588.4	1008.8	41.3428	843.75	843.75	420.315	187.5	0.0565	0.0213	-521	660	660	E:\2020-summer\INOA03R\20200509_060500.WAV	09-05-2020	06:05:41	09-05-2020	06:05:41	MABA	1	0	
18	Spectrogram 1	1	1059022.976	1059024.389	7397.5	8742.6	142.9759	7781.25	7781.25	1345.009	1125	1.4133	1.2907	-1026	1141	1141	E:\2020-summer\INOA03R\20200509_060500.WAV	09-05-2020	06:07:23	09-05-2020	06:07:24	SPPI	1	0	
19	Spectrogram 1	1	1059158.014	1059158.102	4413.3	7229.4	38.0136	4968.75	5250	2816.112	1687.5	0.0879	0.08	-1753	1240	1753	E:\2020-summer\INOA03R\20200509_061000.WAV	09-05-2020	06:10:38	09-05-2020	06:10:38	ORMI	1	0	
20	Spectrogram 1	1	1059211.657	1059211.87	1008.8	1723.3	91.6568	1125	1218.75	714.536	656.25	0.2136	0.1653	-1043	1061	1061	E:\2020-summer\INOA03R\20200509_061000.WAV	09-05-2020	06:11:32	09-05-2020	06:11:32	LBCR	1	0	
21	Spectrogram 1	1	1059334.622	1059337.172	924.7	1555.2	214.6216	1312.5	1312.5	630.473	281.25	2.5502	1.7227	-2030	2235	2235	E:\2020-summer\INOA03R\20200509_061000.WAV	09-05-2020	06:13:35	09-05-2020	06:13:37	GRJU	1	0	
22	Spectrogram 1	1	1059360.2	1059360.595	2353.8	5338	0.1995	3281.25	4593.75	2984.238	2625	0.3957	0.288	-4333	5924	5924	E:\2020-summer\INOA03R\20200509_061500.WAV	09-05-2020	06:15:00	09-05-2020	06:15:01	COTA	1	0	
23	Spectrogram 1	1	1059564.012	1059564.848	2311.7	3152.4	204.0124	2906.25	2906.25	840.63	468.75	0.8354	0.72	-1623	1490	1623	E:\2020-summer\INOA03R\20200509_061500.WAV	09-05-2020	06:18:24	09-05-2020	06:18:25	RUWO	1	0	
24	Spectrogram 1	1	1059824.106	1059825.117	2648	3530.6	224.1059	3000	3000	882.662	656.25	1.0113	0.9067	-1024	1222	1222	E:\2020-summer\INOA03R\20200509_062000.WAV	09-05-2020	06:23:44	09-05-2020	06:23:45	CHBE	1	0	
25	Spectrogram 1	1	1059981.48	1059982.988	2437.8	4245.2	141.4803	4031.25	3562.5	1807.356	1406.25	1.5075	1.36	-1353	1378	1378	E:\2020-summer\INOA03R\20200509_062500.WAV	09-05-2020	06:27:21	09-05-2020	06:27:23	STBU	1	0	
27	Spectrogram 1	1	1060245.808	1060246.078	1260.9	2185.6	165.8081	1968.75	1875	924.694	656.25	0.2701	0.2187	-1025	1322	1322	E:\2020-summer\INOA03R\20200509_063000.WAV	09-05-2020	06:32:46	09-05-2020	06:32:46	RESP	1	0	
28	Spectrogram 1	1	1060733.917	1060736.009	4875.7	7355.5	173.9174	4968.75	5250	2479.86	1500	2.0917	1.8507	-1091	1195	1195	E:\2020-summer\INOA03R\20200509_064000.WAV	09-05-2020	06:42:54	09-05-2020	06:42:56	VFNU	1	0	
29	Spectrogram 1	1	1060115.415	1060115.477	6094.6	8028	35.4146	7406.25	7031.25	1933.45	1312.5	0.0628	0.0427	-714	1012	1012	E:\2020-summer\INOA03R\20200509_063000.WAV	09-05-2020	06:30:35	09-05-2020	06:30:35	NIFP	1	0	
