Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
23	Spectrogram 1	1	556602.1357	556602.2676	3236.4	6514.9	42.1357	4968.75	4968.75	3278.459	1687.5	0.1319	0.112	-801	851	851	E:\2020-summer\STIN02U\20200502_062000.WAV	02-05-2020	06:20:42	02-05-2020	06:20:42	CBSU	1	0	
24	Spectrogram 1	1	557131.2186	557131.853	7397.5	8952.7	91.2186	8625	8156.25	1555.166	1312.5	0.6344	0.56	-721	885	885	E:\2020-summer\STIN02U\20200502_063000.WAV	02-05-2020	06:31:31	02-05-2020	06:31:32	BBFL	1	0	
25	Spectrogram 1	1	557151.3882	557151.809	6388.8	7817.9	111.3882	6937.5	7031.25	1429.072	843.75	0.4209	0.3413	-829	926	926	E:\2020-summer\STIN02U\20200502_063000.WAV	02-05-2020	06:31:51	02-05-2020	06:31:52	VHPA	1	0	
26	Spectrogram 1	1	557332.1105	557332.2676	2185.6	3530.6	52.1105	2906.25	3000	1345.009	843.75	0.157	0.1013	-706	724	724	E:\2020-summer\STIN02U\20200502_063500.WAV	02-05-2020	06:35:52	02-05-2020	06:35:52	CHBE	1	0	
27	Spectrogram 1	1	557597.2739	557600	2858.1	4917.7	77.2739	4218.75	4218.75	2059.545	1781.25	2.7261	2.384	-1029	1216	1216	E:\2020-summer\STIN02U\20200502_064000.WAV	02-05-2020	06:41:17	02-05-2020	06:41:19	ASDR	0	1	
28	Spectrogram 1	1	557601.2814	557601.5327	1050.8	1765.3	81.2814	1500	1500	714.536	281.25	0.2513	0.16	-722	831	831	E:\2020-summer\STIN02U\20200502_064000.WAV	02-05-2020	06:41:21	02-05-2020	06:41:22	LBCR	1	0	
29	Spectrogram 1	1	557812.5942	557812.6947	2606	4413.3	52.5942	2812.5	3093.75	1807.356	1593.75	0.1005	0.0747	-591	626	626	E:\2020-summer\STIN02U\20200502_064500.WAV	02-05-2020	06:45:53	02-05-2020	06:45:53	BNMO	1	0	
30	Spectrogram 1	1	557853.8631	557854.0201	4455.3	7313.5	93.8631	5250	5156.25	2858.144	1312.5	0.157	0.1493	-784	802	802	E:\2020-summer\STIN02U\20200502_064500.WAV	02-05-2020	06:46:34	02-05-2020	06:46:34	GRNW	1	0	
31	Spectrogram 1	1	558495.5088	558496.7713	5169.9	8322.2	15.5088	5250	5437.5	3152.364	1781.25	1.2626	1.088	-2186	2650	2650	E:\2020-summer\STIN02U\20200502_070000.WAV	02-05-2020	07:00:16	02-05-2020	07:00:17	VFNU	1	0	
32	Spectrogram 1	1	558769.3153	558769.8429	178.3	535	49.3153	375	375	356.649	187.5	0.5276	0.4107	-946	936	946	E:\2020-summer\STIN02U\20200502_070500.WAV	02-05-2020	07:05:49	02-05-2020	07:05:50	AEDO	1	0	
33	Spectrogram 1	1	559402.0163	559402.2739	8784.6	9331	202.0163	9000	9000	546.41	375	0.2575	0.1973	-588	689	689	E:\2020-summer\STIN02U\20200502_071500.WAV	02-05-2020	07:18:22	02-05-2020	07:18:22	SPPI	1	0	
34	Spectrogram 1	1	560477.7324	560479.3656	2648	6683	77.7324	5812.5	5343.75	4035.026	1500	1.6332	1.3813	-4013	4272	4272	E:\2020-summer\STIN02U\20200502_074000.WAV	02-05-2020	07:41:18	02-05-2020	07:41:19	ORMI	0	1	
35	Spectrogram 1	1	562864.7739	562865.6344	1723.3	3572.7	64.7739	3281.25	2906.25	1849.387	1406.25	0.8606	0.672	-32405	32767	32767	E:\2020-summer\STIN02U\20200502_083000.WAV	02-05-2020	08:31:05	02-05-2020	08:31:06	BCFU	1	0	
36	Spectrogram 1	1	564654.1143	564654.6671	840.6	1429.1	174.1143	1218.75	1218.75	588.441	375	0.5528	0.4107	-4648	5286	5286	E:\2020-summer\STIN02U\20200502_090500.WAV	02-05-2020	09:07:54	02-05-2020	09:07:55	INPE	1	0	
37	Spectrogram 1	1	565324.3028	565325.5465	1597.2	2521.9	124.3028	2437.5	2156.25	924.694	562.5	1.2437	1.1093	-1254	1206	1254	E:\2020-summer\STIN02U\20200502_092000.WAV	02-05-2020	09:22:04	02-05-2020	09:22:06	CSEA	1	0	
38	Spectrogram 1	1	565407.1922	565407.3618	252.2	546.4	207.1922	375	375	294.221	187.5	0.1696	0.1387	-1116	962	1116	E:\2020-summer\STIN02U\20200502_092000.WAV	02-05-2020	09:23:27	02-05-2020	09:23:27	GRCO	1		
