Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	132622.6947	132624.108	2092.5	4868.3	142.6947	3937.5	3937.5	2775.8	1968.75	1.4133	1.12	-3431	3527	3527	E:\2020-winter\UPMAP3B\20201207_055500.WAV	07-12-2020	57:22.7	07-12-2020	57:24.1	IBRO	0	1	
2	Spectrogram 1	1	132927.0477	132928.059	5295.4	5765.1	207.0477	5531.25	5531.25	469.7	187.5	1.0113	0.5227	-1027	579	1027	E:\2020-winter\UPMAP3B\20201207_060000.WAV	07-12-2020	03:27.0	07-12-2020	03:28.1	MWTH	1	0	
3	Spectrogram 1	1	132946.2249	132947.1419	1921.7	2690.4	226.2249	2343.75	2250	768.7	656.25	0.9171	0.8053	-852	787	852	E:\2020-winter\UPMAP3B\20201207_060000.WAV	07-12-2020	03:46.2	07-12-2020	03:47.1	PTBA	1	0	
4	Spectrogram 1	1	132963.6432	132964.9121	1636.4	3230.8	3.6432	2812.5	2718.75	1594.4	937.5	1.2688	0.9973	-1298	1073	1298	E:\2020-winter\UPMAP3B\20201207_060500.WAV	07-12-2020	05:03.6	07-12-2020	05:04.9	BCFU	0	1	
5	Spectrogram 1	1	132966.5075	132968.147	1258.7	1972	6.5075	1500	1593.75	713.3	375	1.6394	1.0133	-620	715	715	E:\2020-winter\UPMAP3B\20201207_060500.WAV	07-12-2020	05:06.5	07-12-2020	05:08.1	MWTH	0	1	
6	Spectrogram 1	1	132975.3894	132978.2161	2475.5	4741.3	15.3894	2906.25	3375	2265.8	1593.75	2.8266	2.3573	-1206	1403	1403	E:\2020-winter\UPMAP3B\20201207_060500.WAV	07-12-2020	05:15.4	07-12-2020	05:18.2	IWEY	0	1	
7	Spectrogram 1	1	132978.3166	132978.6306	8937.1	9440.6	18.3166	9093.75	9187.5	503.5	375	0.3141	0.1867	-829	937	937	E:\2020-winter\UPMAP3B\20201207_060500.WAV	07-12-2020	05:18.3	07-12-2020	05:18.6	SPPI	1	0	
8	Spectrogram 1	1	132971.9095	132972.7073	1007	1384.6	11.9095	1218.75	1218.75	377.6	187.5	0.7977	0.576	-578	620	620	E:\2020-winter\UPMAP3B\20201207_060500.WAV	07-12-2020	05:11.9	07-12-2020	05:12.7	ISBA	1	0	
9	Spectrogram 1	1	133010.647	133010.9422	1636.4	2055.9	50.647	1875	1875	419.5	281.25	0.2952	0.2347	-510	378	510	E:\2020-winter\UPMAP3B\20201207_060500.WAV	07-12-2020	05:50.6	07-12-2020	05:50.9	GRTD	1	0	
10	Spectrogram 1	1	133176.4447	133176.5641	545.5	1342.7	216.4447	1125	1125	797.2	656.25	0.1193	0.096	-547	550	550	E:\2020-winter\UPMAP3B\20201207_060500.WAV	07-12-2020	08:36.4	07-12-2020	08:36.6	MATR	1	0	
11	Spectrogram 1	1	133301.809	133302.5377	5244.8	8055.9	101.809	7687.5	6656.25	2811.1	2531.25	0.7286	0.6293	-1017	1087	1087	E:\2020-winter\UPMAP3B\20201207_061000.WAV	07-12-2020	11:41.8	07-12-2020	11:42.5	NIFP	1	0	
12	Spectrogram 1	1	133307.1796	133307.6256	1678.3	2391.6	107.1796	2156.25	2156.25	713.3	375	0.446	0.3467	-890	1566	1566	E:\2020-winter\UPMAP3B\20201207_061000.WAV	07-12-2020	11:47.2	07-12-2020	11:47.6	CSEA	1	0	
13	Spectrogram 1	1	133320.3832	133321.2123	2601.4	3146.9	120.3832	3093.75	3000	545.5	468.75	0.8291	0.672	-1021	1023	1023	E:\2020-winter\UPMAP3B\20201207_061000.WAV	07-12-2020	12:00.4	07-12-2020	12:01.2	GRFL	1	0	
14	Spectrogram 1	1	133311.5829	133311.7902	1552.4	2349.7	111.5829	1968.75	1968.75	797.3	562.5	0.2073	0.1333	-1511	1631	1631	E:\2020-winter\UPMAP3B\20201207_061000.WAV	07-12-2020	11:51.6	07-12-2020	11:51.8	YBBU	1	0	
15	Spectrogram 1	1	133323.995	133324.5163	3692.3	4489.5	123.995	3937.5	3937.5	797.2	375	0.5214	0.3413	-518	759	759	E:\2020-winter\UPMAP3B\20201207_061000.WAV	07-12-2020	12:04.0	07-12-2020	12:04.5	UK	1	0	
