Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	134.8555	268214.8555	268215.1256	1494.662	1811.804	1687.5	1687.5	317.142	281.25	0.2701	0.2187	-2304	2305	2305	E:\2020-winter\HP36P4B\20201216_060500.WAV	16-12-2020	06:07:15	16-12-2020	06:07:15	MWTH	0	1	
2	Spectrogram 1	1	0.1884	268320.1884	268320.892	1793.594	3032.028	2906.25	2718.75	1238.434	1031.25	0.7036	0.608	-1070	1060	1070	E:\2020-winter\HP36P4B\20201216_061000.WAV	16-12-2020	06:10:00	16-12-2020	06:10:01	BCFU	0	1	
3	Spectrogram 1	1	40.9296	268360.9296	268363.8128	2476.868	4740.214	3750	3750	2263.346	1125	2.8832	2.2667	-1427	1095	1427	E:\2020-winter\HP36P4B\20201216_061000.WAV	16-12-2020	06:10:41	16-12-2020	06:10:44	IWEY	0	1	
4	Spectrogram 1	1	64.9246	268624.9246	268626.1558	939.502	1451.957	1125	1218.75	512.455	375	1.2312	1.0773	-841	1036	1036	E:\2020-winter\HP36P4B\20201216_061500.WAV	16-12-2020	06:16:05	16-12-2020	06:16:06	WCBA	1	0	
5	Spectrogram 1	1	1.0678	268801.0678	268801.206	4996.441	8797.153	7687.5	7500	3800.712	2906.25	0.1382	0.1173	-552	553	553	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:20:01	16-12-2020	06:20:01	NIFP	1	0	
6	Spectrogram 1	1	0.9736	268800.9736	268802.6822	1836.299	3971.53	3187.5	3093.75	2135.231	1500	1.7086	1.408	-981	1194	1194	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:20:01	16-12-2020	06:20:03	YBBU	0	1	
7	Spectrogram 1	1	12.7827	268812.7827	268812.8832	341.637	768.683	562.5	562.5	427.046	375	0.1005	0.08	-674	750	750	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:20:13	16-12-2020	06:20:13	GRHO	1	0	
8	Spectrogram 1	1	21.6206	268821.6206	268822.7952	982.206	1494.662	1312.5	1312.5	512.456	375	1.1746	1.104	-1609	1793	1793	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:20:22	16-12-2020	06:20:23	GRJU	1	0	
9	Spectrogram 1	1	26.3819	268826.3819	268827.4246	7217.082	9523.132	8062.5	8062.5	2306.05	1875	1.0427	0.944	-1059	1287	1287	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:20:26	16-12-2020	06:20:27	BBFL	1	0	
10	Spectrogram 1	1	54.9623	268854.9623	268858.5239	4697.509	9309.609	4781.25	6656.25	4612.1	3843.75	3.5616	3.12	-1267	1540	1540	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:20:55	16-12-2020	06:20:59	CBSU	0	1	
11	Spectrogram 1	1	74.2525	268874.2525	268874.7487	8925.267	10291.815	9281.25	9281.25	1366.548	375	0.4962	0.2027	-1585	1862	1862	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:21:14	16-12-2020	06:21:15	SPPI	1	0	
12	Spectrogram 1	1	89.6105	268889.6105	268890	4483.986	5850.534	5718.75	5062.5	1366.548	937.5	0.3895	0.2773	-1210	1333	1333	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:21:30	16-12-2020	06:21:30	WBBF	1	0	
13	Spectrogram 1	1	120	268920	268922.01	5124.555	6790.036	5156.25	6187.5	1665.481	1500	2.01	1.8293	-1089	954	1089	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:22:00	16-12-2020	06:22:02	VFNU	1	0	
14	Spectrogram 1	1	141.5138	268941.5138	268942.01	725.979	1024.911	937.5	843.75	298.932	187.5	0.4962	0.4267	-1261	1080	1261	E:\2020-winter\HP36P4B\20201216_062000.WAV	16-12-2020	06:22:22	16-12-2020	06:22:22	ISBA	1	0	
