Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	59.0075	404699.0075	404699.0955	211.377	875.705	468.75	562.5	664.328	375	0.088	0.0587	-5408	5233	5408	E:\2020-winter\HP36P4B\20201218_054000.WAV	18-12-2020	5:40:59 AM	18-12-2020	5:40:59 AM	GRHO	1	0	
2	Spectrogram 1	1	150.7789	405990.7789	405992.3492	1323.843	1921.708	1500	1593.75	597.865	468.75	1.5703	1.408	-819	1083	1083	E:\2020-winter\HP36P4B\20201218_060500.WAV	18-12-2020	6:07:31 AM	18-12-2020	6:07:32 AM	MWTH	0	1	
3	Spectrogram 1	1	74.196	406154.196	406155.446	2135.231	3117.438	2437.5	2718.75	982.207	937.5	1.25	1.1147	-704	1021	1021	E:\2020-winter\HP36P4B\20201218_061000.WAV	18-12-2020	6:11:14 AM	18-12-2020	6:11:15 AM	BCFU	0	1	
4	Spectrogram 1	1	84.6482	406404.6482	406404.9749	9053.381	9608.541	9375	9375	555.16	281.25	0.3267	0.1813	-698	730	730	E:\2020-winter\HP36P4B\20201218_061500.WAV	18-12-2020	6:16:25 AM	18-12-2020	6:16:25 AM	SPPI	1	0	
5	Spectrogram 1	1	129.8115	406449.8115	406450	939.502	1323.843	1218.75	1218.75	384.341	281.25	0.1885	0.176	-447	411	447	E:\2020-winter\HP36P4B\20201218_061500.WAV	18-12-2020	6:17:10 AM	18-12-2020	6:17:10 AM	WCBA	1	0	
6	Spectrogram 1	1	154.9937	406474.9937	406475.6093	3416.37	4569.395	3468.75	3843.75	1153.025	1031.25	0.6156	0.544	-671	939	939	E:\2020-winter\HP36P4B\20201218_061500.WAV	18-12-2020	6:17:35 AM	18-12-2020	6:17:36 AM	GHCF	1	0	
7	Spectrogram 1	1	204.4472	406524.4472	406526.2688	3117.438	4868.327	3750	3843.75	1750.889	1406.25	1.8216	1.5787	-806	971	971	E:\2020-winter\HP36P4B\20201218_061500.WAV	18-12-2020	6:18:24 AM	18-12-2020	6:18:26 AM	IWEY	0	1	
8	Spectrogram 1	1	78.5992	406638.5992	406639.2713	8370.107	9480.427	9187.5	9000	1110.32	1031.25	0.6721	0.5867	-1005	862	1005	E:\2020-winter\HP36P4B\20201218_062000.WAV	18-12-2020	6:21:19 AM	18-12-2020	6:21:19 AM	BBFL	1	0	
9	Spectrogram 1	1	110.7789	406670.7789	406670.9862	1708.185	3160.142	2812.5	2718.75	1451.957	1031.25	0.2073	0.1707	-1641	1777	1777	E:\2020-winter\HP36P4B\20201218_062000.WAV	18-12-2020	6:21:51 AM	18-12-2020	6:21:51 AM	YBBU	1	0	
10	Spectrogram 1	1	186.9221	406746.9221	406747.9585	3320.49	6893.17	3843.75	4781.25	3572.68	2625	1.0364	0.9173	-756	1015	1015	E:\2020-winter\HP36P4B\20201218_062000.WAV	18-12-2020	6:23:07 AM	18-12-2020	6:23:08 AM	IBRO	0	1	
