Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	12.2613	58572.2613	58572.33668	213.523	1793.594	937.5	937.5	1580.071	1125	0.0754	0.064	-12370	12091	12370	E:\2020-winter\SEL207R\20201202_053000.WAV	02-12-2020	05:30:12	02-12-2020	05:30:12	ISOW	1	0	
2	Spectrogram 1	1	226.9724	59266.97235	59267.12938	1323.843	1665.48	1500	1500	341.637	187.5	0.157	0.128	-8668	8880	8880	E:\2020-winter\SEL207R\20201202_054000.WAV	02-12-2020	05:43:47	02-12-2020	05:43:47	MWTH	0	1	
3	Spectrogram 1	1	51.3254	60051.32537	60051.93467	2306.05	3032.028	2906.25	2718.75	725.978	656.25	0.6093	0.5333	-389	331	389	E:\2020-winter\SEL207R\20201202_060000.WAV	02-12-2020	06:00:51	02-12-2020	06:00:52	INPI	1	0	
4	Spectrogram 1	1	90.0911	60090.09108	60090.14447	5800.35	9267.951	8343.75	7781.25	3467.601	3093.75	0.0534	0.048	-304	361	361	E:\2020-winter\SEL207R\20201202_060000.WAV	02-12-2020	06:01:30	02-12-2020	06:01:30	NIFP	1	0	
6	Spectrogram 1	1	125.1382	60125.13818	60125.28265	8448.336	9078.809	8812.5	8812.5	630.473	375	0.1445	0.1067	-287	356	356	E:\2020-winter\SEL207R\20201202_060000.WAV	02-12-2020	06:02:05	02-12-2020	06:02:05	SPPI	1	0	
7	Spectrogram 1	1	177.0414	60177.04144	60178.69345	2816.112	4245.184	3656.25	3843.75	1429.072	1125	1.652	1.4507	-393	366	393	E:\2020-winter\SEL207R\20201202_060000.WAV	02-12-2020	06:02:57	02-12-2020	06:02:59	IWEY	0	1	
8	Spectrogram 1	1	172.4749	60172.47487	60176.26883	462.347	924.694	656.25	656.25	462.347	375	3.794	3.4187	-478	472	478	E:\2020-winter\SEL207R\20201202_060000.WAV	02-12-2020	06:02:52	02-12-2020	06:02:56	SPDO	1	0	
9	Spectrogram 1	1	184.1583	60184.15828	60185.47109	2984.238	7817.863	5625	5437.5	4833.625	3187.5	1.3128	1.1947	-575	553	575	E:\2020-winter\SEL207R\20201202_060000.WAV	02-12-2020	06:03:04	02-12-2020	06:03:05	IBRO	0	1	
10	Spectrogram 1	1	210.892	60210.89196	60211.21231	1891.419	3404.553	2250	2812.5	1513.134	1312.5	0.3204	0.2827	-301	298	301	E:\2020-winter\SEL207R\20201202_060000.WAV	02-12-2020	06:03:31	02-12-2020	06:03:31	RWBU	1	0	
11	Spectrogram 1	1	5.7914	60245.79145	60246.1118	1050.788	1471.103	1312.5	1312.5	420.315	281.25	0.3204	0.272	-297	389	389	E:\2020-winter\SEL207R\20201202_060500.WAV	02-12-2020	06:05:06	02-12-2020	06:05:06	WCBA	1	0	
12	Spectrogram 1	1	65.4523	60305.45225	60305.79145	3026.27	3656.743	3187.5	3281.25	630.473	468.75	0.3392	0.2773	-441	436	441	E:\2020-winter\SEL207R\20201202_060500.WAV	02-12-2020	06:06:05	02-12-2020	06:06:06	SHMY	1	0	
