Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
22	Spectrogram 1	1	190.0565	406750.0565	406751.5641	1975.482	3530.648	2625	2625	1555.166	1031.25	1.5075	1.3653	-1729	2161	2161	E:\2020-winter\SEL107U\20201207_061500.WAV	07-12-2020	06:18:10	07-12-2020	06:18:12	STBU	1	0	
23	Spectrogram 1	1	196.0992	406756.0992	406756.5326	2059.545	2858.144	2343.75	2531.25	798.599	562.5	0.4334	0.3947	-1469	1981	1981	E:\2020-winter\SEL107U\20201207_061500.WAV	07-12-2020	06:18:16	07-12-2020	06:18:17	PTBA	1	0	
24	Spectrogram 1	1	144.642	406944.642	406945.4585	3740.806	9499.124	8906.25	7687.5	5758.318	5062.5	0.8166	0.7307	-8940	9222	9222	E:\2020-winter\SEL107U\20201207_062000.WAV	07-12-2020	06:22:25	07-12-2020	06:22:25	BAOF	1	0	
25	Spectrogram 1	1	102.7387	407142.7387	407145.5842	4917.688	7817.863	6562.5	6375	2900.175	1968.75	2.8455	2.2453	-1593	1677	1677	E:\2020-winter\SEL107U\20201207_062500.WAV	07-12-2020	06:26:43	07-12-2020	06:26:46	VFNU	1	0	
26	Spectrogram 1	1	102.4497	407142.4497	407146.3568	1975.482	3614.711	2906.25	3000	1639.229	843.75	3.907	3.2	-1631	2059	2059	E:\2020-winter\SEL107U\20201207_062500.WAV	07-12-2020	06:26:42	07-12-2020	06:26:46	CHBE	1	0	
27	Spectrogram 1	1	169.4598	407209.4598	407209.7487	714.536	1975.482	1687.5	1593.75	1260.946	843.75	0.2889	0.24	-588	959	959	E:\2020-winter\SEL107U\20201207_062500.WAV	07-12-2020	06:27:49	07-12-2020	06:27:50	RESP	1	0	
28	Spectrogram 1	1	99.2525	407379.2525	407379.3027	462.347	861.646	656.25	656.25	399.299	281.25	0.0503	0.032	-400	422	422	E:\2020-winter\SEL107U\20201207_063000.WAV	07-12-2020	06:31:39	07-12-2020	06:31:39	MABA	1	0	
29	Spectrogram 1	1	203.4234	407723.4234	407723.5616	798.599	2942.207	1875	1875	2143.608	1125	0.1382	0.112	-1037	1068	1068	E:\2020-winter\SEL107U\20201207_063500.WAV	07-12-2020	06:38:23	07-12-2020	06:38:24	BHOR	1	0	
30	Spectrogram 1	1	133.5804	407893.5804	407893.7877	4791.594	8322.242	7687.5	5906.25	3530.648	2437.5	0.2073	0.176	-697	742	742	E:\2020-winter\SEL107U\20201207_064000.WAV	07-12-2020	06:42:14	07-12-2020	06:42:14	GRNW	1	0	
31	Spectrogram 1	1	165.2324	408165.2324	408165.3455	2269.702	4371.278	3562.5	3468.75	2101.576	1593.75	0.1131	0.096	-480	610	610	E:\2020-winter\SEL107U\20201207_064500.WAV	07-12-2020	06:47:45	07-12-2020	06:47:45	PHPA	1	0	
32	Spectrogram 1	1	2.1231	408482.1231	408482.8266	2984.238	8112.084	6187.5	6656.25	5127.846	3937.5	0.7035	0.592	-4843	4504	4843	E:\2020-winter\SEL107U\20201207_065500.WAV	07-12-2020	06:55:02	07-12-2020	06:55:03	ORMI	1	0	
33	Spectrogram 1	1	34.5226	408514.5226	408514.755	1092.82	1639.229	1406.25	1406.25	546.409	281.25	0.2324	0.1867	-1620	1723	1723	E:\2020-winter\SEL107U\20201207_065500.WAV	07-12-2020	06:55:35	07-12-2020	06:55:35	LBCR	1	0	
34	Spectrogram 1	1	77.5	408557.5	408557.7073	2059.545	5464.098	3656.25	3656.25	3404.553	2250	0.2073	0.1333	-1121	1183	1183	E:\2020-winter\SEL107U\20201207_065500.WAV	07-12-2020	06:56:17	07-12-2020	06:56:18	COTA	1	0	
36	Spectrogram 1	1	232.3053	408952.3053	408952.5565	294.221	567.426	375	468.75	273.205	187.5	0.2513	0.2293	-395	455	455	E:\2020-winter\SEL107U\20201207_070000.WAV	07-12-2020	07:03:52	07-12-2020	07:03:53	AEDO	1	0	
37	Spectrogram 1	1	201.0741	409641.0741	409641.3002	4749.562	7817.863	5250	6093.75	3068.301	2718.75	0.2261	0.1867	-1368	1755	1755	E:\2020-winter\SEL107U\20201207_071500.WAV	07-12-2020	07:18:21	07-12-2020	07:18:21	GRWA	1	0	
38	Spectrogram 1	1	68.3794	409028.3794	409028.794	504.378	756.567	656.25	656.25	252.189	187.5	0.4146	0.3627	-1412	2101	2101	E:\2020-winter\SEL107U\20201207_070500.WAV	07-12-2020	07:06:08	07-12-2020	07:06:09	SPDO	1	0	
40	Spectrogram 1	1	80.5088	410960.5088	410961.7651	1975.482	5674.256	3937.5	4312.5	3698.774	3187.5	1.2563	1.1093	-951	780	951	E:\2020-winter\SEL107U\20201207_074500.WAV	07-12-2020	07:46:21	07-12-2020	07:46:22	DFBA	1	0	
41	Spectrogram 1	1	213.2475	411573.2475	411573.4045	420.315	672.504	562.5	562.5	252.189	187.5	0.157	0.1387	-557	663	663	E:\2020-winter\SEL107U\20201207_075500.WAV	07-12-2020	07:58:33	07-12-2020	07:58:33	GRCO	1	0	
42	Spectrogram 1	1	214.5289	413734.5289	413735.5213	1387.04	6767.075	5906.25	5718.75	5380.035	3937.5	0.9925	0.8533	-651	643	651	E:\2020-winter\SEL107U\20201207_084000.WAV	07-12-2020	08:43:35	07-12-2020	08:43:36	AFBL	1	0	
44	Spectrogram 1	1	133.9698	415093.9698	415094.7048	5169.877	8070.053	7125	6843.75	2900.176	2343.75	0.7349	0.6773	-1135	1213	1213	E:\2020-winter\SEL107U\20201207_091000.WAV	07-12-2020	09:12:14	07-12-2020	09:12:15	BWFS	1	0	
45	Spectrogram 1	1	203.7751	415643.7751	415644.4724	1092.82	1597.198	1406.25	1406.25	504.378	281.25	0.6972	0.608	-1017	1168	1168	E:\2020-winter\SEL107U\20201207_092000.WAV	07-12-2020	09:23:24	07-12-2020	09:23:24	INPE	1	0	
