Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	151.1872	63511.18718	63511.76507	5224.034	5586.395	5343.75	5437.5	362.361	281.25	0.5779	0.496	-435	429	435	E:\2020-winter\HP37P4B\20201213_060500.WAV	13-12-2020	06:07:31	13-12-2020	06:07:32	MWTH	1	0	
2	Spectrogram 1	1	181.8781	63541.87814	63543.04019	1409.253	2092.527	1875	1781.25	683.274	562.5	1.162	1.024	-491	440	491	E:\2020-winter\HP37P4B\20201213_060500.WAV	13-12-2020	06:08:02	13-12-2020	06:08:03	MWTH	0	1	
3	Spectrogram 1	1	33.951	63633.951	63634.71733	3245.552	4056.94	3656.25	3656.25	811.388	750	0.7663	0.6667	-676	423	676	E:\2020-winter\HP37P4B\20201213_061000.WAV	13-12-2020	06:10:34	13-12-2020	06:10:35	LBLW	1	0	
4	Spectrogram 1	1	81.1809	63681.1809	63682.75125	2946.619	4654.804	3281.25	3656.25	1708.185	1500	1.5704	1.4027	-475	456	475	E:\2020-winter\HP37P4B\20201213_061000.WAV	13-12-2020	06:11:21	13-12-2020	06:11:23	IWEY	0	1	
5	Spectrogram 1	1	211.4196	64051.4196	64052.01633	1921.708	3330.961	2906.25	2625	1409.253	1218.75	0.5967	0.544	-462	464	464	E:\2020-winter\HP37P4B\20201213_061500.WAV	13-12-2020	06:18:31	13-12-2020	06:18:32	PTBA	1	0	
6	Spectrogram 1	1	40.8291	64840.82914	64841.33794	3655.655	6178.634	5625	5625	2522.979	2156.25	0.5088	0.416	-465	462	465	E:\2020-winter\HP37P4B\20201213_063500.WAV	13-12-2020	06:35:41	13-12-2020	06:35:41	LBLW	1	0	
7	Spectrogram 1	1	217.2362	65257.23617	65257.50627	6598.949	8238.179	8062.5	7500	1639.23	1406.25	0.2701	0.2453	-579	410	579	E:\2020-winter\HP37P4B\20201213_064000.WAV	13-12-2020	06:43:37	13-12-2020	06:43:38	NIFP	0	1	
9	Spectrogram 1	1	67.657	65107.65702	65107.92084	882.662	1555.166	1218.75	1218.75	672.504	562.5	0.2638	0.2293	-477	406	477	E:\2020-winter\HP37P4B\20201213_064000.WAV	13-12-2020	06:41:08	13-12-2020	06:41:08	GRJU	1	0	
10	Spectrogram 1	1	168.2789	65448.27888	65448.39822	3992.995	5968.476	5156.25	4968.75	1975.481	1687.5	0.1193	0.1013	-389	419	419	E:\2020-winter\HP37P4B\20201213_064500.WAV	13-12-2020	06:47:48	13-12-2020	06:47:48	IPFL	1	0	verify
11	Spectrogram 1	1	86.162	67046.16205	67046.24999	2395.797	3362.522	3000	3000	966.725	843.75	0.0879	0.0747	-419	406	419	E:\2020-winter\HP37P4B\20201213_072000.WAV	13-12-2020	07:21:26	13-12-2020	07:21:26	YBBU	1	0	
12	Spectrogram 1	1	22.2613	67462.2613	67462.56281	2732.049	4791.594	3562.5	3656.25	2059.545	1781.25	0.3015	0.272	-624	774	774	E:\2020-winter\HP37P4B\20201213_073000.WAV	13-12-2020	07:30:22	13-12-2020	07:30:23	STBU	1	0	
13	Spectrogram 1	1	92.9209	68252.92085	68253.25376	6767.075	7943.958	7500	7500	1176.883	937.5	0.3329	0.272	-469	412	469	E:\2020-winter\HP37P4B\20201213_074500.WAV	13-12-2020	07:46:33	13-12-2020	07:46:33	VHPA	1	0	
14	Spectrogram 1	1	9.0766	70089.07661	70089.8241	2227.671	3446.585	3281.25	2812.5	1218.914	1125	0.7475	0.6667	-535	595	595	E:\2020-winter\HP37P4B\20201213_082500.WAV	13-12-2020	08:25:09	13-12-2020	08:25:10	BCFU	1	0	
15	Spectrogram 1	1	81.1621	70161.16206	70162.99622	4833.625	7145.359	6093.75	6000	2311.734	2062.5	1.8342	1.616	-517	451	517	E:\2020-winter\HP37P4B\20201213_082500.WAV	13-12-2020	08:26:21	13-12-2020	08:26:23	VFNU	1	0	
16	Spectrogram 1	1	84.2274	70164.22738	70164.46607	4371.278	6809.107	5250	5531.25	2437.829	2062.5	0.2387	0.2133	-451	351	451	E:\2020-winter\HP37P4B\20201213_082500.WAV	13-12-2020	08:26:24	13-12-2020	08:26:24	CBSU	1	0	
18	Spectrogram 1	1	221.809	70301.80904	70301.96608	4245.184	7649.737	5250	5812.5	3404.553	2906.25	0.157	0.128	-365	370	370	E:\2020-winter\HP37P4B\20201213_082500.WAV	13-12-2020	08:28:42	13-12-2020	08:28:42	GRNW	1	0	
19	Spectrogram 1	1	132.745	70932.74497	70938.41079	4203.152	8700.525	5343.75	5812.5	4497.373	3937.5	5.6658	5.1253	-603	581	603	E:\2020-winter\HP37P4B\20201213_084000.WAV	13-12-2020	08:42:13	13-12-2020	08:42:18	CBSU	0	1	
20	Spectrogram 1	1	180.3957	72420.39573	72420.56533	882.662	1302.977	1218.75	1125	420.315	281.25	0.1696	0.1493	-384	404	404	E:\2020-winter\HP37P4B\20201213_091000.WAV	13-12-2020	09:13:00	13-12-2020	09:13:01	WCBA	1	0	
21	Spectrogram 1	1	97.8643	73057.86431	73058.45476	3824.869	5043.783	4218.75	4312.5	1218.914	1031.25	0.5904	0.528	-661	522	661	E:\2020-winter\HP37P4B\20201213_092500.WAV	13-12-2020	09:26:38	13-12-2020	09:26:38	GHCF	1	0	
