Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song
25	Spectrogram 1	1	202110.8291	202112.8643	2939.6	4832.2	30.8291	3750	4031.25	1892.6	1500	2.0352	1.6747	-627	647	647	E:\2020-winter\HP36P1B\20201215_064500.WAV	15-12-2020	6:45:31 AM	15-12-2020	6:45:33 AM	ASDR	0	1
26	Spectrogram 1	1	202298.8316	202299.4723	3664.4	5798.7	218.8316	5718.75	5062.5	2134.3	1968.75	0.6407	0.5333	-490	484	490	E:\2020-winter\HP36P1B\20201215_064500.WAV	15-12-2020	6:48:39 AM	15-12-2020	6:48:39 AM	LBLW	1	0
27	Spectrogram 1	1	202881.7902	202882.01	1006.7	2335.6	81.7902	2062.5	2062.5	1328.9	843.75	0.2198	0.1493	-636	750	750	E:\2020-winter\HP36P1B\20201215_070000.WAV	15-12-2020	7:01:22 AM	15-12-2020	7:01:22 AM	STWO	1	0
28	Spectrogram 1	1	202930.892	202931.1495	4832.2	7530.2	130.892	6468.75	6468.75	2698	1593.75	0.2575	0.2027	-483	597	597	E:\2020-winter\HP36P1B\20201215_070000.WAV	15-12-2020	7:02:11 AM	15-12-2020	7:02:11 AM	IPFL	1	0
30	Spectrogram 1	1	203331.4887	203332.9397	1812.1	5355.7	51.4887	3000	3468.75	3543.6	3093.75	1.451	1.2107	-572	723	723	E:\2020-winter\HP36P1B\20201215_071000.WAV	15-12-2020	7:10:51 AM	15-12-2020	7:10:53 AM	BNMO	0	1
32	Spectrogram 1	1	203885.9171	203886.2688	6483.2	7651	125.9171	6937.5	7031.25	1167.8	750	0.3517	0.2613	-749	751	751	E:\2020-winter\HP36P1B\20201215_072000.WAV	15-12-2020	7:22:06 AM	15-12-2020	7:22:06 AM	VHPA	1	0
33	Spectrogram 1	1	205457.6444	205458.6054	3261.7	4590.6	17.6444	4406.25	3937.5	1328.9	1125	0.961	0.8	-599	635	635	E:\2020-winter\HP36P1B\20201215_075500.WAV	15-12-2020	7:55:18 AM	15-12-2020	7:55:19 AM	GHCF	0	1
34	Spectrogram 1	1	205830.8793	205830.9359	543.6	805.4	150.8793	656.25	656.25	261.8	187.5	0.0566	0.0427	-506	382	506	E:\2020-winter\HP36P1B\20201215_080000.WAV	15-12-2020	8:02:31 AM	15-12-2020	8:02:31 AM	GRHO	1	0
35	Spectrogram 1	1	205850.3266	205850.446	1973.154	5234.899	170.3266	2625	3187.5	3261.745	2812.5	0.1194	0.1067	-399	494	494	E:\2020-winter\HP36P1B\20201215_080000.WAV	15-12-2020	8:02:50 AM	15-12-2020	8:02:50 AM	AFBL	1	0
36	Spectrogram 1	1	205859.1583	205860	80.537	463.087	179.1583	281.25	281.25	382.55	281.25	0.8417	0.7093	-1282	1430	1430	E:\2020-winter\HP36P1B\20201215_080000.WAV	15-12-2020	8:02:59 AM	15-12-2020	8:03:00 AM	MIPI	1	0
37	Spectrogram 1	1	205857.4937	205857.7198	3342.282	4187.919	177.4937	3937.5	3843.75	845.637	656.25	0.2261	0.176	-465	463	465	E:\2020-winter\HP36P1B\20201215_080000.WAV	15-12-2020	8:02:57 AM	15-12-2020	8:02:58 AM	IWEY	1	0
40	Spectrogram 1	1	206328.0339	206328.1595	9481.875	10051.357	168.0339	9750	9750	569.482	375	0.1256	0.0907	-587	616	616	E:\2020-winter\HP36P1B\20201215_081000.WAV	15-12-2020	8:12:48 AM	15-12-2020	8:12:48 AM	SPPI	0	1
41	Spectrogram 1	1	206735.6407	206737.9208	4187.919	5275.168	95.6407	4500	4500	1087.249	656.25	2.2801	1.2213	-593	719	719	E:\2020-winter\HP36P1B\20201215_082000.WAV	15-12-2020	8:21:36 AM	15-12-2020	8:21:38 AM	LBLW	0	1
42	Spectrogram 1	1	207823.1281	207824.4661	2778.523	3825.503	223.1281	3187.5	3187.5	1046.98	656.25	1.338	1.152	-610	644	644	E:\2020-winter\HP36P1B\20201215_084000.WAV	15-12-2020	8:43:43 AM	15-12-2020	8:43:44 AM	STBU	0	1
44	Spectrogram 1	1	208032.01	208032.0854	1590.604	1852.349	192.01	1687.5	1687.5	261.745	187.5	0.0754	0.0587	-557	415	557	E:\2020-winter\HP36P1B\20201215_084500.WAV	15-12-2020	8:48:12 AM	15-12-2020	8:48:12 AM	CSEA	1	0
46	Spectrogram 1	1	208084.799	208085.157	1570.47	3020.134	4.799	2531.25	2343.75	1449.664	1125	0.358	0.3147	-828	994	994	E:\2020-winter\HP36P1B\20201215_085000.WAV	15-12-2020	8:50:05 AM	15-12-2020	8:50:05 AM	RWBU	1	0
47	Spectrogram 1	1	208555.8794	208556.0301	3261.745	4590.604	235.8794	4406.25	4031.25	1328.859	1031.25	0.1507	0.1227	-558	756	756	E:\2020-winter\HP36P1B\20201215_085500.WAV	15-12-2020	8:58:56 AM	15-12-2020	8:58:56 AM	ASDR	1	0
48	Spectrogram 1	1	208556.5641	208560	3221.477	5597.315	236.5641	4593.75	4312.5	2375.838	1593.75	3.4359	2.9493	-1802	1763	1802	E:\2020-winter\HP36P1B\20201215_085500.WAV	15-12-2020	8:58:57 AM	15-12-2020	9:00:00 AM	ASDR	0	1
49	Spectrogram 1	1	208793.3229	208794.0264	181.208	463.087	233.3229	281.25	281.25	281.879	187.5	0.7035	0.5973	-649	781	781	E:\2020-winter\HP36P1B\20201215_090000.WAV	15-12-2020	9:03:53 AM	15-12-2020	9:03:54 AM	AEDO	1	0
51	Spectrogram 1	1	209216.5075	209218.304	3704.698	7973.154	176.5075	5156.25	5812.5	4268.456	2812.5	1.7965	1.5787	-592	690	690	E:\2020-winter\HP36P1B\20201215_091000.WAV	15-12-2020	9:12:57 AM	15-12-2020	9:12:58 AM	VFNU	0	1
