Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
24	Spectrogram 1	1	138.643	199098.643	199099.0324	6052.539	7901.926	7312.5	7031.25	1849.387	1406.25	0.3894	0.3307	-460	593	593	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:17:19	04-12-2020	06:17:19	VHPA	1	0	
25	Spectrogram 1	1	180.6782	199140.6782	199142.2234	504.378	1807.356	1312.5	1218.75	1302.978	375	1.5452	1.072	-4441	4906	4906	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:18:01	04-12-2020	06:18:02	GRJU	1	0	
26	Spectrogram 1	1	2.795	199202.795	199204.1267	1639.229	3320.49	2437.5	2531.25	1681.261	1125	1.3317	1.1467	-704	815	815	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:03	04-12-2020	06:20:04	YBBU	1	0	
27	Spectrogram 1	1	3.5048	199203.5048	199207.2862	336.252	840.63	656.25	656.25	504.378	281.25	3.7814	3.2267	-1395	1351	1395	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:04	04-12-2020	06:20:07	SPDO	1	0	
28	Spectrogram 1	1	37.1292	199237.1292	199238.8314	5295.972	7691.769	6375	6000	2395.797	1687.5	1.7023	1.4933	-748	746	748	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:37	04-12-2020	06:20:39	VFNU	1	0	
29	Spectrogram 1	1	32.6819	199232.6819	199233.1154	273.205	672.504	468.75	468.75	399.299	187.5	0.4334	0.3467	-1123	1095	1123	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:33	04-12-2020	06:20:33	EUHO	1	0	
30	Spectrogram 1	1	72.0287	199272.0287	199275.0814	1387.04	6767.075	3750	3375	5380.035	3562.5	3.0528	1.664	-3450	3789	3789	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:21:12	04-12-2020	06:21:15	DFBA	1	0	
31	Spectrogram 1	1	143.4923	199343.4922	199343.687	3362.522	8364.273	5437.5	5437.5	5001.751	2062.5	0.1947	0.176	-696	752	752	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:22:23	04-12-2020	06:22:24	GRNW	1	0	
32	Spectrogram 1	1	85.138	199525.138	199525.295	3026.27	5338.004	4593.75	4593.75	2311.734	1312.5	0.157	0.1067	-671	701	701	E:\2020-winter\SEL207R\20201204_062500.WAV	04-12-2020	06:26:25	04-12-2020	06:26:25	ASDR	1	0	
33	Spectrogram 1	1	85.9043	199525.9043	199526.0927	1008.757	1849.387	1218.75	1312.5	840.63	656.25	0.1884	0.16	-491	575	575	E:\2020-winter\SEL207R\20201204_062500.WAV	04-12-2020	06:26:26	04-12-2020	06:26:26	LBCR	1	0	
34	Spectrogram 1	1	119.692	199559.692	199559.8867	630.473	2101.576	1406.25	1406.25	1471.103	1031.25	0.1947	0.16	-631	647	647	E:\2020-winter\SEL207R\20201204_062500.WAV	04-12-2020	06:27:00	04-12-2020	06:27:00	RESP	1	0	
35	Spectrogram 1	1	138.8314	199578.8314	199579.1706	1092.82	2059.545	1781.25	1781.25	966.725	375	0.3392	0.2187	-1600	1797	1797	E:\2020-winter\SEL207R\20201204_062500.WAV	04-12-2020	06:27:19	04-12-2020	06:27:19	MGHO	1	0	
36	Spectrogram 1	1	110.7787	199790.7787	199790.9734	2185.639	4707.531	3187.5	3468.75	2521.892	2062.5	0.1947	0.1547	-418	433	433	E:\2020-winter\SEL207R\20201204_063000.WAV	04-12-2020	06:31:51	04-12-2020	06:31:51	COTA	1	0	
37	Spectrogram 1	1	116.4382	199796.4382	199796.5387	672.504	1513.135	937.5	1031.25	840.631	562.5	0.1005	0.08	-594	644	644	E:\2020-winter\SEL207R\20201204_063000.WAV	04-12-2020	06:31:56	04-12-2020	06:31:57	GRHO	1	0	
38	Spectrogram 1	1	158.8754	199838.8754	199839.9998	2647.986	3614.711	3093.75	3093.75	966.725	656.25	1.1244	0.9227	-1564	1069	1564	E:\2020-winter\SEL207R\20201204_063000.WAV	04-12-2020	06:32:39	04-12-2020	06:32:40	PTBA	0	1	
39	Spectrogram 1	1	150.0375	200070.0375	200071.947	3656.743	6598.949	4500	4968.75	2942.206	2156.25	1.9095	1.6427	-2276	2530	2530	E:\2020-winter\SEL207R\20201204_063500.WAV	04-12-2020	06:37:30	04-12-2020	06:37:32	PHPA	1	0	
40	Spectrogram 1	1	105.1066	200505.1066	200505.6091	1639.229	2353.765	2062.5	2062.5	714.536	375	0.5025	0.3787	-388	592	592	E:\2020-winter\SEL207R\20201204_064500.WAV	04-12-2020	06:46:45	04-12-2020	06:46:46	CSEA	1	0	
41	Spectrogram 1	1	164.8113	200564.8113	200564.8616	1849.387	3740.806	3562.5	3281.25	1891.419	1312.5	0.0503	0.032	-419	485	485	E:\2020-winter\SEL207R\20201204_064500.WAV	04-12-2020	06:47:45	04-12-2020	06:47:45	CHBE	1	0	
42	Spectrogram 1	1	25.2322	200905.2322	200906.1681	1681.261	3446.585	3093.75	2812.5	1765.324	1406.25	0.9359	0.8427	-784	896	896	E:\2020-winter\SEL207R\20201204_065500.WAV	04-12-2020	06:55:25	04-12-2020	06:55:26	STBU	1	0	
43	Spectrogram 1	1	200.3139	202040.3139	202040.4772	189.142	567.426	375	375	378.284	187.5	0.1633	0.112	-3763	3771	3771	E:\2020-winter\SEL207R\20201204_071500.WAV	04-12-2020	07:18:20	04-12-2020	07:18:20	GRCO	1	0	
44	Spectrogram 1	1	61.9408	202621.9407	202622.0664	3782.837	5716.287	5250	4875	1933.45	1500	0.1256	0.112	-337	396	396	E:\2020-winter\SEL207R\20201204_073000.WAV	04-12-2020	07:31:02	04-12-2020	07:31:02	ORMI	1	0	
45	Spectrogram 1	1	78.2096	202638.2096	202638.6556	3656.743	6640.981	5437.5	5343.75	2984.238	1968.75	0.446	0.3627	-587	789	789	E:\2020-winter\SEL207R\20201204_073000.WAV	04-12-2020	07:31:18	04-12-2020	07:31:19	BWFS	1	0	
46	Spectrogram 1	1	27.8704	202827.8704	202828.2096	6304.729	7439.58	7031.25	6937.5	1134.851	750	0.3392	0.2667	-761	784	784	E:\2020-winter\SEL207R\20201204_073500.WAV	04-12-2020	07:35:28	04-12-2020	07:35:28	IYTI	1	0	
47	Spectrogram 1	1	44.108	202844.108	202845.4397	3824.869	7061.296	6562.5	5718.75	3236.427	2343.75	1.3317	1.2373	-426	530	530	E:\2020-winter\SEL207R\20201204_073500.WAV	04-12-2020	07:35:44	04-12-2020	07:35:45	CBSU	1	0	
48	Spectrogram 1	1	51.5892	204771.5892	204773.2726	1975.482	5001.751	2625	2812.5	3026.269	1687.5	1.6834	1.4613	-1520	1853	1853	E:\2020-winter\SEL207R\20201204_081500.WAV	04-12-2020	08:15:52	04-12-2020	08:15:53	RUBA	0	1	
52	Spectrogram 1	1	32.3241	205712.3241	205712.4749	2395.797	3488.616	3281.25	3093.75	1092.819	937.5	0.1508	0.128	-1113	1207	1207	E:\2020-winter\SEL207R\20201204_083500.WAV	04-12-2020	08:35:32	04-12-2020	08:35:32	RTFL	1	0	
53	Spectrogram 1	1	228.2224	205908.2223	205908.6118	5758.319	6304.729	6093.75	6000	546.41	281.25	0.3894	0.2347	-1064	1240	1240	E:\2020-winter\SEL207R\20201204_083500.WAV	04-12-2020	08:38:48	04-12-2020	08:38:49	LBLW	1	0	
54	Spectrogram 1	1	132.4749	206772.4749	206774.1708	3992.995	5001.751	4406.25	4593.75	1008.756	656.25	1.696	1.3013	-3217	3099	3217	E:\2020-winter\SEL207R\20201204_085500.WAV	04-12-2020	08:57:12	04-12-2020	08:57:14	GRFL	1	0	
