Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	90.6784	473370.6784	473370.7726	208.045	1040.227	937.5	562.5	832.182	750	0.0942	0.08	-3836	3752	3836	E:\2020-winter\SEL207R\20201208_054000.WAV	08-12-2020	05:41:31	08-12-2020	05:41:31	ISOW	1	0	
2	Spectrogram 1	1	110.1194	473870.1193	473870.9862	1429.072	1681.261	1593.75	1593.75	252.189	93.75	0.8668	0.72	-920	1036	1036	E:\2020-winter\SEL207R\20201208_055000.WAV	08-12-2020	05:51:50	08-12-2020	05:51:51	MWTH	0	1	
3	Spectrogram 1	1	225.0816	474225.0816	474225.9548	1639.229	3026.27	2812.5	2625	1387.041	843.75	0.8731	0.7413	-696	734	734	E:\2020-winter\SEL207R\20201208_055500.WAV	08-12-2020	05:58:45	08-12-2020	05:58:46	INPI	1	0	
4	Spectrogram 1	1	2.7513	474242.7513	474242.8518	168.126	1723.292	1125	1125	1555.166	1218.75	0.1005	0.0693	-415	494	494	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:00:03	08-12-2020	06:00:03	GRHO	1	0	
5	Spectrogram 1	1	5.848	474245.848	474249.4975	1176.883	3614.711	3281.25	3000	2437.828	937.5	3.6495	3.088	-2410	2767	2767	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:00:06	08-12-2020	06:00:09	BRFL	1	0	
6	Spectrogram 1	1	68.8882	474308.8882	474309.6294	2647.986	6809.107	3281.25	5156.25	4161.121	3093.75	0.7412	0.6613	-710	889	889	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:01:09	08-12-2020	06:01:10	IBRO	0	1	
7	Spectrogram 1	1	86.3945	474326.3945	474327.7952	546.41	2311.734	1687.5	1500	1765.324	1593.75	1.4008	1.232	-842	1100	1100	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:01:26	08-12-2020	06:01:28	GRTD	1	0	
8	Spectrogram 1	1	137.8078	474377.8078	474379.2776	2185.639	3488.616	3093.75	3000	1302.977	562.5	1.4698	0.9547	-1727	2208	2208	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:02:18	08-12-2020	06:02:19	WTKI	1	0	
9	Spectrogram 1	1	162.6507	474402.6507	474402.9899	504.378	3236.427	1968.75	1968.75	2732.049	1218.75	0.3392	0.288	-755	932	932	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:02:43	08-12-2020	06:02:43	SHMY	1	0	
10	Spectrogram 1	1	186.7148	474426.7148	474427.1671	6388.792	8826.62	8437.5	7593.75	2437.828	2062.5	0.4523	0.3947	-1025	1032	1032	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:03:07	08-12-2020	06:03:07	NIFP	1	0	
11	Spectrogram 1	1	208.9824	474448.9824	474450	546.41	1387.04	937.5	937.5	840.63	187.5	1.0176	0.8213	-2954	3011	3011	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:03:29	08-12-2020	06:03:29	ISBA	0	1	
12	Spectrogram 1	1	3.0151	474483.0151	474485.8668	2690.018	4917.688	3937.5	3937.5	2227.67	1593.75	2.8518	2.4053	-687	687	687	E:\2020-winter\SEL207R\20201208_060500.WAV	08-12-2020	06:05:03	08-12-2020	06:05:06	IWEY	0	1	
13	Spectrogram 1	1	6.1306	474486.1306	474487.9146	966.725	1387.04	1125	1218.75	420.315	281.25	1.7839	1.552	-691	569	691	E:\2020-winter\SEL207R\20201208_060500.WAV	08-12-2020	06:05:06	08-12-2020	06:05:08	WCBA	1	0	
14	Spectrogram 1	1	209.7236	474449.7236	474449.9246	8322.242	9036.778	8906.25	8812.5	714.536	562.5	0.201	0.16	-2854	3005	3005	E:\2020-winter\SEL207R\20201208_060000.WAV	08-12-2020	06:03:30	08-12-2020	06:03:30	SPPI	1	0	
16	Spectrogram 1	1	156.7148	474636.7148	474637.4309	1891.419	2690.018	2343.75	2343.75	798.599	468.75	0.7161	0.6293	-699	444	699	E:\2020-winter\SEL207R\20201208_060500.WAV	08-12-2020	06:07:37	08-12-2020	06:07:37	CSEA	1	0	
17	Spectrogram 1	1	161.5201	474641.5201	474642.1985	630.473	1345.009	1125	1125	714.536	468.75	0.6784	0.624	-712	662	712	E:\2020-winter\SEL207R\20201208_060500.WAV	08-12-2020	06:07:42	08-12-2020	06:07:42	GRJU	1	0	
18	Spectrogram 1	1	171.809	474651.809	474652.343	1513.135	3068.301	2437.5	2343.75	1555.166	656.25	0.5339	0.432	-611	547	611	E:\2020-winter\SEL207R\20201208_060500.WAV	08-12-2020	06:07:52	08-12-2020	06:07:52	OHTH	1	0	
19	Spectrogram 1	1	170.559	474650.559	474650.9359	5884.413	8070.053	6937.5	6937.5	2185.64	1781.25	0.3769	0.32	-789	492	789	E:\2020-winter\SEL207R\20201208_060500.WAV	08-12-2020	06:07:51	08-12-2020	06:07:51	VHPA	1	0	
