Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	202.9397	64282.93969	64283.15954	5338.078	5637.011	5531.25	5531.25	298.933	281.25	0.2199	0.176	-486	430	486	E:\2020-winter\HP37P1B\20201213_060000.WAV	13-12-2020	06:03:23	13-12-2020	06:03:23	MWTH	1	0	
2	Spectrogram 1	1	17.4811	64577.48114	64577.85174	939.502	1281.139	1125	1125	341.637	187.5	0.3706	0.3307	-515	449	515	E:\2020-winter\HP37P1B\20201213_061000.WAV	13-12-2020	06:10:17	13-12-2020	06:10:18	WCBA	1	0	
3	Spectrogram 1	1	31.451	64591.451	64591.65201	2049.822	3330.961	2718.75	2531.25	1281.139	1125	0.201	0.1707	-621	585	621	E:\2020-winter\HP37P1B\20201213_061000.WAV	13-12-2020	06:10:31	13-12-2020	06:10:32	YBBU	1	0	
4	Spectrogram 1	1	32.1796	64592.17964	64593.36683	1750.89	2135.231	2062.5	1968.75	384.341	281.25	1.1872	1.0027	-583	545	583	E:\2020-winter\HP37P1B\20201213_061000.WAV	13-12-2020	06:10:32	13-12-2020	06:10:33	MWTH	0	1	
5	Spectrogram 1	1	85.2387	64645.23868	64645.35803	1451.957	2135.231	1875	1875	683.274	562.5	0.1194	0.096	-850	802	850	E:\2020-winter\HP37P1B\20201213_061000.WAV	13-12-2020	06:11:25	13-12-2020	06:11:25	UK	1	0	
6	Spectrogram 1	1	4.1709	64804.17085	64805.22612	1537.367	3330.961	3187.5	2531.25	1793.594	1406.25	1.0553	0.928	-800	638	800	E:\2020-winter\HP37P1B\20201213_061500.WAV	13-12-2020	06:15:04	13-12-2020	06:15:05	BCFU	1	0	
7	Spectrogram 1	1	207.5816	64767.58164	64769.99998	3160.142	4313.167	3187.5	3750	1153.025	1031.25	2.4183	2.1653	-3620	3326	3620	E:\2020-winter\HP37P1B\20201213_061000.WAV	13-12-2020	06:13:28	13-12-2020	06:13:29	IWEY	1	0	
8	Spectrogram 1	1	71.0678	64871.06784	64872.13567	1879.004	3074.733	2343.75	2531.25	1195.729	1031.25	1.0678	0.9387	-516	574	574	E:\2020-winter\HP37P1B\20201213_061500.WAV	13-12-2020	06:16:11	13-12-2020	06:16:12	PTBA	1	0	
9	Spectrogram 1	1	194.6482	64994.64823	64998.17837	1964.413	3715.302	2437.5	2718.75	1750.889	1125	3.5301	3.392	-951	975	975	E:\2020-winter\HP37P1B\20201213_061500.WAV	13-12-2020	06:18:15	13-12-2020	06:18:18	YBBU	0	1	
10	Spectrogram 1	1	177.7952	64977.79521	64979.17712	713.287	1636.364	1125	1125	923.077	562.5	1.3819	1.2427	-856	873	873	E:\2020-winter\HP37P1B\20201213_061500.WAV	13-12-2020	06:17:58	13-12-2020	06:17:59	GRJU	1	0	
11	Spectrogram 1	1	89.4912	65129.49119	65129.73616	4909.091	6545.455	5250	5437.5	1636.364	1031.25	0.245	0.1547	-850	754	850	E:\2020-winter\HP37P1B\20201213_062000.WAV	13-12-2020	06:21:29	13-12-2020	06:21:30	IBRO	1	0	
12	Spectrogram 1	1	90.5151	65130.51507	65131.41331	4699.301	8223.776	5718.75	5718.75	3524.475	2812.5	0.8982	0.7573	-905	989	989	E:\2020-winter\HP37P1B\20201213_062000.WAV	13-12-2020	06:21:31	13-12-2020	06:21:31	IBRO	0	1	
15	Spectrogram 1	1	1.4447	65281.44472	65281.67085	3440.559	7006.993	6093.75	5625	3566.434	2437.5	0.2261	0.1547	-1454	1324	1454	E:\2020-winter\HP37P1B\20201213_062500.WAV	13-12-2020	06:25:01	13-12-2020	06:25:02	GRNW	1	0	
17	Spectrogram 1	1	88.4234	65368.42335	65368.77511	4531.469	6923.077	5531.25	5625	2391.608	1968.75	0.3518	0.3147	-612	537	612	E:\2020-winter\HP37P1B\20201213_062500.WAV	13-12-2020	06:26:28	13-12-2020	06:26:29	CBSU	1	0	
18	Spectrogram 1	1	27.1357	65787.13566	65788.44847	2727.273	4321.678	3375	3468.75	1594.405	1312.5	1.3128	1.2	-686	601	686	E:\2020-winter\HP37P1B\20201213_063500.WAV	13-12-2020	06:35:27	13-12-2020	06:35:28	STBU	0	1	
20	Spectrogram 1	1	84.0138	65844.01381	65847.59421	2391.608	3482.517	2718.75	2812.5	1090.909	937.5	3.5804	3.1147	-1086	1036	1086	E:\2020-winter\HP37P1B\20201213_063500.WAV	13-12-2020	06:36:24	13-12-2020	06:36:28	PTBA	0	1	
21	Spectrogram 1	1	4.7613	66004.7613	66005.48366	3146.853	4531.469	4218.75	3843.75	1384.616	1125	0.7224	0.6293	-1606	1873	1873	E:\2020-winter\HP37P1B\20201213_064000.WAV	13-12-2020	06:40:05	13-12-2020	06:40:05	GHCF	1	0	
23	Spectrogram 1	1	16.7148	66016.71481	66016.99747	104.895	461.538	281.25	281.25	356.643	187.5	0.2827	0.2347	-704	602	704	E:\2020-winter\HP37P1B\20201213_064000.WAV	13-12-2020	06:40:17	13-12-2020	06:40:17	MIPI	1	0	
24	Spectrogram 1	1	48.3605	66048.36054	66048.72486	4615.385	6377.622	5718.75	5531.25	1762.237	1406.25	0.3643	0.2667	-736	718	736	E:\2020-winter\HP37P1B\20201213_064000.WAV	13-12-2020	06:40:48	13-12-2020	06:40:49	WBBF	1	0	
25	Spectrogram 1	1	117.4057	66117.40576	66117.75752	3566.434	3944.056	3750	3750	377.622	281.25	0.3518	0.3147	-444	483	483	E:\2020-winter\HP37P1B\20201213_064000.WAV	13-12-2020	06:41:57	13-12-2020	06:41:58	LBLW	1	0	
