Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	25.0628	478585.0628	478586.0364	1849.387	2227.671	1968.75	1968.75	378.284	281.25	0.9736	0.7947	-2748	3262	3262	E:\2020-winter\HP37P2B\20201219_061000.WAV	19-12-2020	06:10:25	19-12-2020	06:10:26	MWTH	0	1	rain
2	Spectrogram 1	1	228.3543	478788.3543	478790	3068.301	5127.846	3843.75	3843.75	2059.545	1687.5	1.6457	1.3813	-2993	3251	3251	E:\2020-winter\HP37P2B\20201219_061000.WAV	19-12-2020	06:13:48	19-12-2020	06:13:50	IWEY	0	1	
3	Spectrogram 1	1	123.2286	478923.2286	478923.4925	882.662	1345.009	1125	1125	462.347	375	0.2639	0.2293	-1072	1279	1279	E:\2020-winter\HP37P2B\20201219_061500.WAV	19-12-2020	06:17:03	19-12-2020	06:17:03	WCBA	1	0	
4	Spectrogram 1	1	157.3932	478957.3932	478957.5628	8490.368	8994.746	8718.75	8718.75	504.378	281.25	0.1696	0.1493	-654	599	654	E:\2020-winter\HP37P2B\20201219_061500.WAV	19-12-2020	06:17:37	19-12-2020	06:17:38	SPPI	1	0	
5	Spectrogram 1	1	178.9007	478978.9007	478980	1681.261	3236.427	2531.25	2531.25	1555.166	1312.5	1.0993	0.944	-3867	2034	3867	E:\2020-winter\HP37P2B\20201219_061500.WAV	19-12-2020	06:17:59	19-12-2020	06:18:00	OHTH	1	0	
6	Spectrogram 1	1	190.5653	478990.5653	478991.3568	1723.292	3320.49	2437.5	2437.5	1597.198	1218.75	0.7915	0.6133	-2062	2194	2194	E:\2020-winter\HP37P2B\20201219_061500.WAV	19-12-2020	06:18:11	19-12-2020	06:18:11	RWBU	1	0	
7	Spectrogram 1	1	222.0038	479022.0038	479022.6256	1471.103	2437.828	1875	1968.75	966.725	656.25	0.6218	0.5067	-8629	8431	8629	E:\2020-winter\HP37P2B\20201219_061500.WAV	19-12-2020	06:18:42	19-12-2020	06:18:43	CHCU	1	0	
8	Spectrogram 1	1	234.7801	479034.7801	479035.5967	1387.04	2563.923	1875	1875	1176.883	1125	0.8166	0.7413	-2606	4512	4512	E:\2020-winter\HP37P2B\20201219_061500.WAV	19-12-2020	06:18:55	19-12-2020	06:18:56	YBBU	1	0	
9	Spectrogram 1	1	75.8291	479115.8291	479116.7399	2059.545	3194.396	2343.75	2437.5	1134.851	843.75	0.9108	0.784	-1052	2263	2263	E:\2020-winter\HP37P2B\20201219_062000.WAV	19-12-2020	06:21:16	19-12-2020	06:21:17	STBU	1	0	
10	Spectrogram 1	1	190.6093	479230.6093	479232.2487	3530.648	6767.075	4125	4125	3236.427	2531.25	1.6394	1.3387	-7826	10832	10832	E:\2020-winter\HP37P2B\20201219_062000.WAV	19-12-2020	06:23:11	19-12-2020	06:23:12	CBSU	0	1	
