Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	114.3719	201714.3719	201714.4472	298.932	896.797	656.25	656.25	597.865	375	0.0753	0.0373	-676	858	858	E:\2020-winter\HP4008R\20201215_053000.WAV	15-12-2020	05:31:54	15-12-2020	05:31:54	GRHO	1	0	
6	Spectrogram 1	1	93.1156	202893.1156	202893.995	1580.071	3416.37	2437.5	2343.75	1836.299	1687.5	0.8794	0.8	-430	430	430	E:\2020-winter\HP4008R\20201215_055500.WAV	15-12-2020	05:56:33	15-12-2020	05:56:34	RWBU	1	0	
9	Spectrogram 1	1	124.108	202924.108	202924.5917	5295.374	5637.011	5531.25	5531.25	341.637	281.25	0.4837	0.4107	-380	403	403	E:\2020-winter\HP4008R\20201215_055500.WAV	15-12-2020	05:57:04	15-12-2020	05:57:05	MWTH	1	0	
10	Spectrogram 1	1	179.4284	203219.4284	203220	1879.004	2220.641	2062.5	2062.5	341.637	187.5	0.5716	0.496	-417	617	617	E:\2020-winter\HP4008R\20201215_060000.WAV	15-12-2020	06:02:59	15-12-2020	06:03:00	MWTH	0	1	
12	Spectrogram 1	1	34.5163	203314.5163	203316.6269	3160.142	5039.146	4781.25	4125	1879.004	1593.75	2.1106	1.8453	-983	986	986	E:\2020-winter\HP4008R\20201215_060500.WAV	15-12-2020	06:05:35	15-12-2020	06:05:37	IWEY	0	1	
13	Spectrogram 1	1	82.7073	203602.7073	203602.7952	5594.306	7729.537	6468.75	6843.75	2135.231	1781.25	0.0879	0.0747	-327	413	413	E:\2020-winter\HP4008R\20201215_061000.WAV	15-12-2020	06:11:23	15-12-2020	06:11:23	CBSU	1	0	
14	Spectrogram 1	1	116.2249	203636.2249	203638.348	854.093	1195.73	1125	1031.25	341.637	187.5	2.1231	1.6907	-1157	1074	1157	E:\2020-winter\HP4008R\20201215_061000.WAV	15-12-2020	06:11:56	15-12-2020	06:11:58	WCBA	1	0	
15	Spectrogram 1	1	153.2475	203673.2475	203675.1193	5466.192	8199.288	7031.25	7125	2733.096	1875	1.8718	1.7227	-400	494	494	E:\2020-winter\HP4008R\20201215_061000.WAV	15-12-2020	06:12:33	15-12-2020	06:12:35	NIFP	0	1	
16	Spectrogram 1	1	154.7864	203674.7864	203676.0804	2007.117	3245.552	2625	2625	1238.435	843.75	1.294	1.12	-434	494	494	E:\2020-winter\HP4008R\20201215_061000.WAV	15-12-2020	06:12:35	15-12-2020	06:12:36	BCFU	1	0	
17	Spectrogram 1	1	62.8769	203822.8769	203823.0402	2227.671	3656.743	2718.75	2812.5	1429.072	937.5	0.1633	0.128	-698	844	844	E:\2020-winter\HP4008R\20201215_061500.WAV	15-12-2020	06:16:03	15-12-2020	06:16:03	YBBU	1	0	
