Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	0	410160	410161.7399	982.206	1366.548	1125	1125	384.342	281.25	1.7399	1.4453	-869	1199	1199	E:\2020-winter\HP37P1B\20201218_062000.WAV	18-12-2020	06:20:00	18-12-2020	06:20:02	WCBA	1	0	
2	Spectrogram 1	1	13.4045	410173.4045	410174.397	2348.754	2946.619	2718.75	2718.75	597.865	468.75	0.9925	0.8853	-1840	1162	1840	E:\2020-winter\HP37P1B\20201218_062000.WAV	18-12-2020	06:20:13	18-12-2020	06:20:14	BCFU	1	0	
3	Spectrogram 1	1	14.5163	410174.5163	410175.4083	1479.64	1932.591	1781.25	1687.5	452.951	375	0.892	0.7893	-615	552	615	E:\2020-winter\HP37P1B\20201218_062000.WAV	18-12-2020	06:20:15	18-12-2020	06:20:15	MWTH	0	1	
4	Spectrogram 1	1	26.1118	410186.1118	410188.3919	2348.754	4185.053	3750	3281.25	1836.299	1500	2.2801	2.0267	-495	522	522	E:\2020-winter\HP37P1B\20201218_062000.WAV	18-12-2020	06:20:26	18-12-2020	06:20:28	IWEY	0	1	
5	Spectrogram 1	1	30.8668	410430.8668	410431.4447	2220.641	3032.028	2906.25	2812.5	811.387	656.25	0.5779	0.4907	-647	506	647	E:\2020-winter\HP37P1B\20201218_062500.WAV	18-12-2020	06:25:31	18-12-2020	06:25:31	PTBA	1	0	
6	Spectrogram 1	1	48.7249	410448.7249	410448.9698	3902.098	7300.699	6468.75	5906.25	3398.601	2812.5	0.2449	0.2027	-883	728	883	E:\2020-winter\HP37P1B\20201218_062500.WAV	18-12-2020	06:25:49	18-12-2020	06:25:49	ABFL	1	0	
7	Spectrogram 1	1	156.4698	410796.4698	410796.5578	7594.406	8349.65	8250	8156.25	755.244	562.5	0.088	0.0587	-1971	3953	3953	E:\2020-winter\HP37P1B\20201218_063000.WAV	18-12-2020	06:32:36	18-12-2020	06:32:37	NIFP	1	0	
8	Spectrogram 1	1	193.2098	410833.2098	410834.2211	7888.112	9734.266	9375	8718.75	1846.154	1593.75	1.0113	0.8587	-4123	4505	4505	E:\2020-winter\HP37P1B\20201218_063000.WAV	18-12-2020	06:33:13	18-12-2020	06:33:14	BBFL	1	0	
9	Spectrogram 1	1	4.2651	410884.2651	410885.0754	2853.147	4027.972	3000	3000	1174.825	843.75	0.8103	0.5973	-5797	11666	11666	E:\2020-winter\HP37P1B\20201218_063500.WAV	18-12-2020	06:35:04	18-12-2020	06:35:05	STBU	1	0	
10	Spectrogram 1	1	41.6709	410921.6709	410921.8404	4867.133	7636.364	6375	6375	2769.231	2437.5	0.1695	0.144	-1406	2074	2074	E:\2020-winter\HP37P1B\20201218_063500.WAV	18-12-2020	06:35:42	18-12-2020	06:35:42	CBSU	1	0	
