Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	2.2048	63362.20477	63362.42462	1793.594	3032.028	2812.5	2437.5	1238.434	1031.25	0.2199	0.1973	-817	645	817	E:\2020-winter\HP4008R\20201213_053000.WAV	13-12-2020	05:30:02	13-12-2020	05:30:02	RWBU	1	0	
4	Spectrogram 1	1	63.3857	64383.38567	64383.46733	341.637	1003.559	656.25	656.25	661.922	375	0.0817	0.0427	-946	1086	1086	E:\2020-winter\HP4008R\20201213_055000.WAV	13-12-2020	05:51:03	13-12-2020	05:51:03	GRHO	1	0	
5	Spectrogram 1	1	86.4196	64646.41958	64647.17335	1494.662	2049.822	1875	1781.25	555.16	468.75	0.7538	0.688	-491	494	494	E:\2020-winter\HP4008R\20201213_055500.WAV	13-12-2020	05:56:26	13-12-2020	05:56:27	MWTH	0	1	
6	Spectrogram 1	1	89.5666	64649.56656	64649.61681	4056.94	7686.833	7406.25	6187.5	3629.893	3281.25	0.0503	0.048	-234	241	241	E:\2020-winter\HP4008R\20201213_055500.WAV	13-12-2020	05:56:30	13-12-2020	05:56:30	BRWA	1	0	
7	Spectrogram 1	1	227.412	64787.41204	64787.93968	5466.192	5893.238	5625	5718.75	427.046	281.25	0.5276	0.4267	-304	375	375	E:\2020-winter\HP4008R\20201213_055500.WAV	13-12-2020	05:58:47	13-12-2020	05:58:48	MWTH	1	0	
9	Spectrogram 1	1	235.0879	64795.08793	64795.1319	6277.58	9181.495	8343.75	8250	2903.915	2531.25	0.044	0.0373	-229	266	266	E:\2020-winter\HP4008R\20201213_055500.WAV	13-12-2020	05:58:55	13-12-2020	05:58:55	NIFP	1	0	
10	Spectrogram 1	1	236.0961	64796.0961	64796.95665	3762.162	6183.784	4968.75	4968.75	2421.622	1968.75	0.8606	0.7627	-418	396	418	E:\2020-winter\HP4008R\20201213_055500.WAV	13-12-2020	05:58:56	13-12-2020	05:58:57	UK	0	1	
11	Spectrogram 1	1	160	64960	64961.81532	3074.733	4227.758	3750	3656.25	1153.025	1031.25	1.8153	1.568	-436	435	436	E:\2020-winter\HP4008R\20201213_060000.WAV	13-12-2020	06:02:40	13-12-2020	06:02:42	IWEY	0	1	
13	Spectrogram 1	1	219.7173	65019.71732	65022.22045	2562.278	5637.011	4781.25	3843.75	3074.733	2812.5	2.5031	2.3733	-551	495	551	E:\2020-winter\HP4008R\20201213_060000.WAV	13-12-2020	06:03:40	13-12-2020	06:03:42	STBU	0	1	
14	Spectrogram 1	1	202.7575	65242.75753	65245.16331	811.388	1217.082	1125	1031.25	405.694	281.25	2.4058	2.0907	-1219	1182	1219	E:\2020-winter\HP4008R\20201213_060500.WAV	13-12-2020	06:08:23	13-12-2020	06:08:25	WCBA	1	0	
16	Spectrogram 1	1	13.2663	65293.26632	65293.35426	4697.509	6960.854	5906.25	6093.75	2263.345	1875	0.0879	0.0587	-422	551	551	E:\2020-winter\HP4008R\20201213_061000.WAV	13-12-2020	06:10:13	13-12-2020	06:10:13	CBSU	1	0	
17	Spectrogram 1	1	63.0716	65583.0716	65584.36557	896.797	1708.185	1218.75	1218.75	811.388	656.25	1.294	1.1787	-1694	2414	2414	E:\2020-winter\HP4008R\20201213_061500.WAV	13-12-2020	06:16:03	13-12-2020	06:16:04	GRJU	1	0	
19	Spectrogram 1	1	67.4246	65347.42461	65348.49873	1665.48	3288.256	2906.25	2625	1622.776	1031.25	1.0741	0.912	-682	679	682	E:\2020-winter\HP4008R\20201213_061000.WAV	13-12-2020	06:11:07	13-12-2020	06:11:08	BCFU	1	0	
21	Spectrogram 1	1	7.2487	65767.24873	65768.56782	42.705	427.046	281.25	187.5	384.341	281.25	1.3191	1.216	-1997	1963	1997	E:\2020-winter\HP4008R\20201213_062000.WAV	13-12-2020	06:20:07	13-12-2020	06:20:09	MIPI	1	0	
22	Spectrogram 1	1	75.8103	65835.81029	65836.35677	4014.235	8669.039	5718.75	5906.25	4654.804	3187.5	0.5465	0.4693	-4039	3992	4039	E:\2020-winter\HP4008R\20201213_062000.WAV	13-12-2020	06:21:16	13-12-2020	06:21:16	IYTI	1	0	
23	Spectrogram 1	1	235.3203	65995.32034	65995.55903	1153.025	1750.89	1593.75	1593.75	597.865	187.5	0.2387	0.1333	-1840	1980	1980	E:\2020-winter\HP4008R\20201213_062000.WAV	13-12-2020	06:23:55	13-12-2020	06:23:56	MGHO	1	0	
24	Spectrogram 1	1	52.211	66052.21105	66052.62562	785.115	1117.279	937.5	937.5	332.164	187.5	0.4146	0.3787	-1010	1013	1013	E:\2020-winter\HP4008R\20201213_062500.WAV	13-12-2020	06:25:52	13-12-2020	06:25:53	ISBA	1	0	
25	Spectrogram 1	1	86.9095	66086.90953	66087.24873	1067.616	2263.345	1781.25	1781.25	1195.729	1031.25	0.3392	0.288	-1558	1559	1559	E:\2020-winter\HP4008R\20201213_062500.WAV	13-12-2020	06:26:27	13-12-2020	06:26:27	RESP	1	0	
26	Spectrogram 1	1	3.2663	66243.26632	66243.32914	445.812	861.902	656.25	656.25	416.09	281.25	0.0628	0.0587	-673	601	673	E:\2020-winter\HP4008R\20201213_063000.WAV	13-12-2020	06:30:03	13-12-2020	06:30:03	MABA	1	0	
27	Spectrogram 1	1	87.5	66327.49998	66328.97611	4791.594	7985.989	5812.5	6093.75	3194.395	2343.75	1.4761	1.3707	-1856	2121	2121	E:\2020-winter\HP4008R\20201213_063000.WAV	13-12-2020	06:31:28	13-12-2020	06:31:29	VFNU	1	0	
28	Spectrogram 1	1	71.0176	66311.01759	66311.32537	273.205	609.457	468.75	375	336.252	281.25	0.3078	0.2667	-1494	2061	2061	E:\2020-winter\HP4008R\20201213_063000.WAV	13-12-2020	06:31:11	13-12-2020	06:31:11	AEDO	1	0	
30	Spectrogram 1	1	110.0942	66590.09422	66590.23241	2353.765	5085.814	3562.5	3468.75	2732.049	1687.5	0.1382	0.0907	-2031	2612	2612	E:\2020-winter\HP4008R\20201213_063500.WAV	13-12-2020	06:36:50	13-12-2020	06:36:50	AFBL	1	0	
31	Spectrogram 1	1	133.5176	67093.51758	67093.73115	5422.067	5947.461	5718.75	5718.75	525.394	187.5	0.2136	0.1173	-1553	1561	1561	E:\2020-winter\HP4008R\20201213_064500.WAV	13-12-2020	06:47:14	13-12-2020	06:47:14	IBRO	1	0	
33	Spectrogram 1	1	133.4296	67333.42964	67333.70602	3908.932	4413.31	4218.75	4218.75	504.378	281.25	0.2764	0.1973	-817	1000	1000	E:\2020-winter\HP4008R\20201213_065000.WAV	13-12-2020	06:52:13	13-12-2020	06:52:14	LBLW	1	0	
