Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Lanius cristatus,309024581,89.07,143.558,112.401,11.6,7.9,7.2,6.26,6.73,1.28,1.47,-0.13
Lanius cristatus,83390041,79.46,131.765,98.255,11.6,7.9,6.99,6.39,6.69,1.34,1.47,-0.09
Lanius cristatus,221183241,93.32,175,134.937,11.6,7.9,6.19,5.46,5.82,1.3,1.47,-0.12
Lanius cristatus,275697391,67.45,139.743,110.549,11.6,7.9,5.6,4.82,5.21,1.26,1.47,-0.14
Lanius cristatus,369083011,57.01,92.372,80.025,11.6,7.9,7.16,5.63,6.39,1.15,1.47,-0.21
Lanius cristatus,623698315,60.26,101.697,78.09,11.6,7.9,6.87,6.1,6.48,1.3,1.47,-0.11
Lanius cristatus,623545827,92.03,156.924,135,11.6,7.9,6.8,5.39,6.09,1.16,1.47,-0.21
Lanius cristatus,518403041,69.12,113.53,94.557,11.6,7.9,7.06,5.77,6.42,1.2,1.47,-0.18
Merops leschenaulti,239517261,51.83,202.51,55.326,28.9,6.3,7.4,5.9,6.65,3.66,4.59,-0.2
Merops leschenaulti,147413481,46.18,157.452,53.477,28.9,6.3,8.48,5.44,6.96,2.94,4.59,-0.36
Merops leschenaulti,147413481,44.69,162.863,59.34,28.9,6.3,7.93,4.74,6.34,2.74,4.59,-0.4
Merops leschenaulti,587361971,52.52,187.024,57.559,28.9,6.3,8.11,5.75,6.93,3.25,4.59,-0.29
Merops leschenaulti,617664147,63.59,228.954,84.233,28.9,6.3,8.03,4.76,6.39,2.72,4.59,-0.41
Merops leschenaulti,85910701,41.49,180.75,44.545,28.9,6.3,6.63,5.87,6.25,4.06,4.59,-0.12
Merops leschenaulti,626833788,40.6,199.861,48.052,28.9,6.3,5.87,5.32,5.6,4.16,4.59,-0.09
Merops leschenaulti,632892872,63.51,265.481,65.62,28.9,6.3,6.91,6.1,6.51,4.05,4.59,-0.12
Merops leschenaulti,636877023,37.3,165.94,43.641,28.9,6.3,6.5,5.38,5.94,3.8,4.59,-0.17
Merops leschenaulti,626376900,56.93,266.563,64.724,28.9,6.3,6.17,5.54,5.86,4.12,4.59,-0.1
Merops leschenaulti,636540753,43.17,234.105,54.502,28.9,6.3,5.33,4.99,5.16,4.3,4.59,-0.06
Merops leschenaulti,84195431,59.99,238.048,68.507,28.9,6.3,7.28,5.52,6.4,3.47,4.59,-0.24
Merops leschenaulti,189512981,43.88,181.042,49.206,28.9,6.3,7,5.62,6.31,3.68,4.59,-0.2
Merops leschenaulti,633243170,38.33,153.5,41.076,28.9,6.3,7.22,5.88,6.55,3.74,4.59,-0.19
Merops leschenaulti,633243170,37.86,151.503,45.525,28.9,6.3,7.22,5.24,6.23,3.33,4.59,-0.27
Merops leschenaulti,636151781,53,210.924,57.775,28.9,6.3,7.26,5.78,6.52,3.65,4.59,-0.2
Merops leschenaulti,334082741,61.37,291.234,74.027,28.9,6.3,6.09,5.22,5.66,3.93,4.59,-0.14
Merops leschenaulti,294677521,57,331.074,65.734,28.9,6.3,4.98,5.46,5.22,5.04,4.59,0.1
Merops leschenaulti,640460152,57.35,232.242,63.596,28.9,6.3,7.14,5.68,6.41,3.65,4.59,-0.2
Merops leschenaulti,580236921,46.46,228.561,56.002,28.9,6.3,5.87,5.23,5.55,4.08,4.59,-0.11
Merops leschenaulti,435293181,54.41,272.039,63.379,28.9,6.3,5.78,5.41,5.59,4.29,4.59,-0.06
Merops leschenaulti,614297664,55.46,219.146,55.66,28.9,6.3,7.31,6.28,6.79,3.94,4.59,-0.14
