Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Irena puella,358205131,46.34,135.294,68.363,17.5,9.1,5.99,6.17,6.08,1.98,1.92,0.03
Irena puella,549734741,62.17,151.958,82.681,17.5,9.1,7.16,6.84,7,1.84,1.92,-0.04
Irena puella,614515656,147.15,384.003,220.617,17.5,9.1,6.71,6.07,6.39,1.74,1.92,-0.09
Irena puella,615708339,43.42,119.535,67.989,17.5,9.1,6.36,5.81,6.08,1.76,1.92,-0.09
Irena puella,640460132,69.27,183.636,125.62,17.5,9.1,6.6,5.02,5.81,1.46,1.92,-0.24
Irena puella,202220261,52.02,144.9,93.276,17.5,9.1,6.28,5.08,5.68,1.55,1.92,-0.19
Irena puella,503548841,48.54,125.533,68.542,17.5,9.1,6.77,6.44,6.61,1.83,1.92,-0.05
Irena puella,631497610,45.24,134.7,74.316,17.5,9.1,5.88,5.54,5.71,1.81,1.92,-0.06
Irena puella,576641021,43.4,128.625,73.11,17.5,9.1,5.9,5.4,5.65,1.76,1.92,-0.09
Irena puella,295939201,54.86,145.011,84.138,17.5,9.1,6.62,5.93,6.28,1.72,1.92,-0.1
Irena puella,630632480,55.52,154.503,86.869,17.5,9.1,6.29,5.82,6.05,1.78,1.92,-0.08
Irena puella,631901549,35.11,88.905,51.726,17.5,9.1,6.91,6.18,6.54,1.72,1.92,-0.11
Eudynamys scolopaceus,316232281,112.45,242.293,146.414,20.4,10.6,9.47,8.14,8.8,1.65,1.92,-0.14
Eudynamys scolopaceus,87035191,47.36,100.935,67.364,20.4,10.6,9.57,7.45,8.51,1.5,1.92,-0.22
Eudynamys scolopaceus,631494950,186.08,359.34,253.334,20.4,10.6,10.56,7.79,9.17,1.42,1.92,-0.26
Eudynamys scolopaceus,639094675,43.5,146.319,84.572,20.4,10.6,6.06,5.45,5.76,1.73,1.92,-0.1
Eudynamys scolopaceus,60614251,62.23,143.816,81.718,20.4,10.6,8.83,8.07,8.45,1.76,1.92,-0.09
Eudynamys scolopaceus,305537291,110.45,290.993,182.044,20.4,10.6,7.74,6.43,7.09,1.6,1.92,-0.17
Eudynamys scolopaceus,608757216,72.56,158.484,96.966,20.4,10.6,9.34,7.93,8.64,1.63,1.92,-0.15
Eudynamys scolopaceus,636719460,41.42,99.544,53.515,20.4,10.6,8.49,8.2,8.35,1.86,1.92,-0.03
Eudynamys scolopaceus,204378781,50.11,107.303,56.009,20.4,10.6,9.53,9.48,9.51,1.92,1.92,0
Eudynamys scolopaceus,328589651,43.5,93.766,56.349,20.4,10.6,9.46,8.18,8.82,1.66,1.92,-0.14
Eudynamys scolopaceus,634016317,31.11,70.463,50.062,20.4,10.6,9.01,6.59,7.8,1.41,1.92,-0.27
Eudynamys scolopaceus,627384826,56.34,129.547,83.434,20.4,10.6,8.87,7.16,8.01,1.55,1.92,-0.19
Eudynamys scolopaceus,360265991,76.52,192.442,108.074,20.4,10.6,8.11,7.5,7.81,1.78,1.92,-0.07
Eudynamys scolopaceus,78730911,45.99,115.777,65.548,20.4,10.6,8.1,7.44,7.77,1.77,1.92,-0.08
Eudynamys scolopaceus,629505615,67.49,163.287,95.189,20.4,10.6,8.43,7.52,7.97,1.72,1.92,-0.11
Eudynamys scolopaceus,170428831,127.67,264.484,161.012,20.4,10.6,9.85,8.4,9.13,1.64,1.92,-0.15
Eudynamys scolopaceus,616764895,79.32,177.409,110.44,20.4,10.6,9.12,7.61,8.37,1.61,1.92,-0.17
Eudynamys scolopaceus,206209631,64.69,144.591,83.132,20.4,10.6,9.13,8.25,8.69,1.74,1.92,-0.1
Eudynamys scolopaceus,604522351,69.15,153.572,91.396,20.4,10.6,9.19,8.02,8.6,1.68,1.92,-0.13
Hemipus picatus,460998401,76.5,134.508,70.514,8.4,3.7,4.78,4.01,4.4,1.91,2.27,-0.16
Hemipus picatus,402919551,73.94,142.172,59.439,8.4,3.7,4.37,4.6,4.49,2.39,2.27,0.05
Hemipus picatus,421397511,30.5,57.264,29.254,8.4,3.7,4.47,3.86,4.17,1.96,2.27,-0.14
Hemipus picatus,618959478,53.61,117.129,53.521,8.4,3.7,3.84,3.71,3.78,2.19,2.27,-0.04
Hemipus picatus,609913789,54.15,117.697,60.033,8.4,3.7,3.86,3.34,3.6,1.96,2.27,-0.14
Hemipus picatus,635174425,66.33,131.913,66.242,8.4,3.7,4.22,3.7,3.96,1.99,2.27,-0.12
Hemipus picatus,626237306,51,92.002,43,8.4,3.7,4.66,4.39,4.52,2.14,2.27,-0.06
Hemipus picatus,617813921,51.35,104.376,49.554,8.4,3.7,4.13,3.83,3.98,2.11,2.27,-0.07
Hemipus picatus,627302636,47.01,115.293,51.441,8.4,3.7,3.42,3.38,3.4,2.24,2.27,-0.01
Hemipus picatus,613260048,74.18,144.007,81.002,8.4,3.7,4.33,3.39,3.86,1.78,2.27,-0.22
