"","species_jetz","res.td","res.ad","td","ad","mass_final","hab.bin","for.bin","stratum","feed.PC1","feed.PC2","feed.PC3","feed.PC4","mig.bin","lat","range"
"Tangara_guttata","Tangara guttata",-0.00276690839068072,0.199818993204139,7.85,7.5,19.2,0,0,90,34.9578463712664,48.6561337324725,-17.8135978599991,-4.17032165911675,0,6.42,4.46590811865458
"Tangara_schrankii","Tangara schrankii",0.0769855356862879,0.192633604912357,8.45,7.4,18.7,1,0,100,48.1314977918584,28.0095990655089,-17.4815331829598,-3.91565697740121,0,5.32,5.64544689764324
"Tanygnathus_lucionensis","Tanygnathus lucionensis",0.0802389476388861,0.165758182283963,15.1,13,227.2,0,0,100,73.7856915128139,0.782154163394149,-18.1053689075825,-3.5439318829662,0,11.27,4.23410650459726
"Tanysiptera_galatea","Tanysiptera galatea",0.340101638891478,0.358637134889292,14.75,11.8,66.7,1,1,0,-30.6156936209158,-2.26949134976196,2.43636909084069,18.1126230549353,0,4.79,4.66343909411207
"Tanysiptera_sylvia","Tanysiptera sylvia",0.406280573680739,0.509391084499883,14.95,13,53.1,1,1,0,-22.1464474865347,-1.53580420256437,4.70782338498899,29.1821919149932,1,12.33,3.63758615972639
"Tapera_naevia","Tapera naevia",0.276294469823457,0.171521198711076,12.75,9,46.8,0,0,20,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,1,7.63,7.05012252026906
"Taphrospilus_hypostictus","Taphrospilus hypostictus",0.0305940774000133,0.100783501477247,6.25,5.2,6.2,1,0,60,38.4103947290677,8.96278380041512,90.7894872663863,-8.39943740067789,0,10.84,3.63758615972639
"Taraba_major","Taraba major",0.174547997350135,0.201031921392906,11.675,9.4,49.65,0,0,20,-9.66590518617128,-8.11671443771548,3.75192298332698,29.2992523277127,0,6.84,7.05358572719368
"Tarphonomus_certhioides","Tarphonomus certhioides",0.0678573036882177,0.0813768276383662,8.1,6.4,16.2,0,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,28.28,4.88280192258637
"Tarsiger_chrysaeus","Tarsiger chrysaeus",0.255410858298451,0.228757853699204,9.75,7.4,16.05,0,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,1,29.25,5.27299955856375
"Tarsiger_cyanurus","Tarsiger cyanurus",0.142830210425132,0.17768183592639,9.4,7.6,22.3,1,0,0,-23.2862104091795,-2.83306168264688,-5.30630537948121,-3.92999810873767,1,51,7.11314210870709
"Tauraco_corythaix","Tauraco corythaix",0.178720687070746,0.180802412363038,16.975,13.45,246.2,1,0,100,59.9189309719933,35.4943132621703,-19.7253986633231,-3.93620083367782,0,29.16,3.76120011569356
"Tauraco_erythrolophus","Tauraco erythrolophus",0.132985198502881,0.189720145745493,15.9,13.3,226.1,1,0,70,73.0925823925853,14.8477785952066,-19.3933339862838,-3.68153615196228,0,9.76,3.95124371858143
"Tauraco_hartlaubi","Tauraco hartlaubi",0.137414209249551,0.154581262675925,16.225,13.05,242.1,1,0,60,58.5327127315362,63.6255621257952,-22.3013288207257,-4.21140937166996,0,0.53,3.71357206670431
