Species,Photo_ML _ID,Eye_Measurement _pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Centropus sinensis,133205681,68.33,179.477,122.037,29.3,16.3,11.16,9.13,10.14,1.47,1.8,-0.18
Dicrurus paradiseus,568137111,39.36,95.084,55.274,20.1,10.7,8.32,7.62,7.97,1.72,1.88,-0.08
Dicrurus paradiseus,580319441,35.11,78.021,50.01,20.1,10.7,9.05,7.51,8.28,1.56,1.88,-0.17
Dicrurus paradiseus,543853761,85.64,194.815,122,20.1,10.7,8.84,7.51,8.17,1.6,1.88,-0.15
Dicrurus paradiseus,626693575,25.35,85.615,44.011,20.1,10.7,5.95,6.16,6.06,1.95,1.88,0.04
Dicrurus paradiseus,632015007,34.06,92.197,52.038,20.1,10.7,7.43,7,7.21,1.77,1.88,-0.06
Dicrurus paradiseus,631206617,24.55,72.791,37.003,20.1,10.7,6.78,7.1,6.94,1.97,1.88,0.05
Dicrurus paradiseus,205946551,22.61,73.88,41.339,20.1,10.7,6.15,5.85,6,1.79,1.88,-0.05
Dicrurus paradiseus,147471311,36.69,97.572,60.012,20.1,10.7,7.56,6.54,7.05,1.63,1.88,-0.13
Dicrurus paradiseus,425394691,43.96,109.33,61.074,20.1,10.7,8.08,7.7,7.89,1.79,1.88,-0.05
Dicrurus paradiseus,349576681,55.32,162.003,89.002,20.1,10.7,6.86,6.65,6.76,1.82,1.88,-0.03
Dicrurus paradiseus,512044691,39.14,120.035,74.027,20.1,10.7,6.55,5.66,6.1,1.62,1.88,-0.14
Dicrurus paradiseus,328934311,80.62,270.599,139.902,20.1,10.7,5.99,6.17,6.08,1.93,1.88,0.03
Dicrurus paradiseus,105966381,35.84,108.853,66.002,20.1,10.7,6.62,5.81,6.21,1.65,1.88,-0.12
Dicrurus paradiseus,353264181,66.69,140.289,86.824,20.1,10.7,9.55,8.22,8.89,1.62,1.88,-0.14
Dicrurus paradiseus,204444091,30.81,93.922,51.276,20.1,10.7,6.59,6.43,6.51,1.83,1.88,-0.02
Dicrurus paradiseus,205139051,41.56,104.887,73.527,20.1,10.7,7.96,6.05,7.01,1.43,1.88,-0.24
Dicrurus paradiseus,632743081,33.24,76.081,43.235,20.1,10.7,8.78,8.23,8.5,1.76,1.88,-0.06
Phylloscopus trochiloides,297305651,82.14,151.863,60.632,6.4,2.6,3.46,3.52,3.49,2.5,2.46,0.02
Phylloscopus trochiloides,30333561,76.48,143.349,67.007,6.4,2.6,3.41,2.97,3.19,2.14,2.46,-0.13
Phylloscopus trochiloides,77743621,66.24,127.339,53,6.4,2.6,3.33,3.25,3.29,2.4,2.46,-0.02
Phylloscopus trochiloides,619159112,73.57,131.273,63.032,6.4,2.6,3.59,3.03,3.31,2.08,2.46,-0.15
Phylloscopus trochiloides,103217001,78.81,151.212,59.076,6.4,2.6,3.34,3.47,3.4,2.56,2.46,0.04
Phylloscopus trochiloides,583711981,77.01,141.567,58.523,6.4,2.6,3.48,3.42,3.45,2.42,2.46,-0.02
Phylloscopus trochiloides,616584156,71.95,130.973,58.83,6.4,2.6,3.52,3.18,3.35,2.23,2.46,-0.1
Phylloscopus trochiloides,637364013,65.04,114.203,49.965,6.4,2.6,3.65,3.38,3.51,2.29,2.46,-0.07
Phylloscopus trochiloides,405932591,48.54,98.412,44.654,6.4,2.6,3.16,2.83,2.99,2.2,2.46,-0.1
Phylloscopus trochiloides,265541911,61.97,103.586,48.088,6.4,2.6,3.83,3.35,3.59,2.15,2.46,-0.12
Phylloscopus trochiloides,72353511,60.5,106.298,47.074,6.4,2.6,3.64,3.34,3.49,2.26,2.46,-0.08
Phylloscopus trochiloides,180508311,36.68,72.802,30.509,6.4,2.6,3.22,3.13,3.18,2.39,2.46,-0.03
Phylloscopus trochiloides,636804987,46.34,92.324,40.139,6.4,2.6,3.21,3,3.11,2.3,2.46,-0.07
Phylloscopus trochiloides,522679601,50.14,102.703,39.655,6.4,2.6,3.12,3.29,3.21,2.59,2.46,0.05
Phylloscopus trochiloides,583640581,58.31,93.521,41.512,6.4,2.6,3.99,3.65,3.82,2.25,2.46,-0.08
Hemicircus canente,142691881,64.14,259.625,109.973,17,6.1,4.2,3.56,3.88,2.36,2.79,-0.15
Hemicircus canente,205789301,53.36,216.52,87.367,17,6.1,4.19,3.73,3.96,2.48,2.79,-0.11
Hemicircus canente,558034671,84.29,340.63,143.6,17,6.1,4.21,3.58,3.89,2.37,2.79,-0.15
Hemicircus canente,481072061,52.92,167.8,70.434,17,6.1,5.36,4.58,4.97,2.38,2.79,-0.15
Hemicircus canente,631314176,48.67,160.59,74.518,17,6.1,5.15,3.98,4.57,2.16,2.79,-0.23
Hemicircus canente,499347491,64.16,219.276,101,17,6.1,4.97,3.87,4.42,2.17,2.79,-0.22
Hemicircus canente,160923251,79.95,253.492,118.026,17,6.1,5.36,4.13,4.75,2.15,2.79,-0.23
Hemicircus canente,556768151,40.27,142.941,62.241,17,6.1,4.79,3.95,4.37,2.3,2.79,-0.18
Hemicircus canente,206181231,59.84,171.231,86.145,17,6.1,5.94,4.24,5.09,1.99,2.79,-0.29
Hemicircus canente,643747247,58.54,206.703,83.024,17,6.1,4.81,4.3,4.56,2.49,2.79,-0.11
Hemicircus canente,206015971,54.83,259.856,100.005,17,6.1,3.59,3.34,3.47,2.6,2.79,-0.07
Hemicircus canente,628522447,50.95,180.336,69.732,17,6.1,4.8,4.46,4.63,2.59,2.79,-0.07
Hemicircus canente,211345551,61.85,187.489,89.627,17,6.1,5.61,4.21,4.91,2.09,2.79,-0.25
Hemicircus canente,626776136,48.1,141.905,58.523,17,6.1,5.76,5.01,5.39,2.42,2.79,-0.13
Hemicircus canente,620978321,41.3,135.06,55.084,17,6.1,5.2,4.57,4.89,2.45,2.79,-0.12
Hemicircus canente,619880176,76.32,231.311,99.639,17,6.1,5.61,4.67,5.14,2.32,2.79,-0.17
Hemicircus canente,612694036,57.85,196.577,88.523,17,6.1,5,3.99,4.49,2.22,2.79,-0.2
Hemicircus canente,485803941,51.66,177.463,79.607,17,6.1,4.95,3.96,4.45,2.23,2.79,-0.2
Hemicircus canente,160921461,93.89,315.753,144.9,17,6.1,5.05,3.95,4.5,2.18,2.79,-0.22
Hemicircus canente,398763511,39.66,131.229,63.008,17,6.1,5.14,3.84,4.49,2.08,2.79,-0.25
Hemicircus canente,627603195,57.52,200.564,84.291,17,6.1,4.88,4.16,4.52,2.38,2.79,-0.15
Hemicircus canente,499437171,42.19,138.977,65.691,17,6.1,5.16,3.92,4.54,2.12,2.79,-0.24
Hemicircus canente,410848051,64.13,207.183,93.059,17,6.1,5.26,4.2,4.73,2.23,2.79,-0.2
Corvus splendens,453915611,56.18,199,118.849,31.5,16.7,8.89,7.89,8.39,1.67,1.89,-0.11
Corvus splendens,455183781,51.64,174.106,91.706,31.5,16.7,9.34,9.4,9.37,1.9,1.89,0.01
Corvus splendens,169465181,53.03,186.815,111.072,31.5,16.7,8.94,7.97,8.46,1.68,1.89,-0.11
Corvus splendens,148211051,53.26,193.217,111.647,31.5,16.7,8.68,7.97,8.32,1.73,1.89,-0.08
Corvus splendens,639092000,28.68,98.154,62.502,31.5,16.7,9.2,7.66,8.43,1.57,1.89,-0.17
Corvus splendens,587541861,68.01,258.312,149.003,31.5,16.7,8.29,7.62,7.96,1.73,1.89,-0.08
Corvus splendens,630363104,61.66,198.494,124.258,31.5,16.7,9.79,8.29,9.04,1.6,1.89,-0.15
Corvus splendens,623866529,45.04,167.502,89.669,31.5,16.7,8.47,8.39,8.43,1.87,1.89,-0.01
Corvus splendens,622464582,89.86,312,185.084,31.5,16.7,9.07,8.11,8.59,1.69,1.89,-0.11
Corvus splendens,619611537,75.53,270.453,169.012,31.5,16.7,8.8,7.46,8.13,1.6,1.89,-0.15
Corvus splendens,556846951,54.39,193.018,111.018,31.5,16.7,8.88,8.18,8.53,1.74,1.89,-0.08
Corvus splendens,364113131,41.35,131.987,80.539,31.5,16.7,9.87,8.57,9.22,1.64,1.89,-0.13
Corvus splendens,155334771,63.73,265.345,146.328,31.5,16.7,7.57,7.27,7.42,1.81,1.89,-0.04
Corvus splendens,164651821,85.62,315.078,176.409,31.5,16.7,8.56,8.1,8.33,1.79,1.89,-0.05
Corvus splendens,357947081,171.57,581.231,337.001,31.5,16.7,9.3,8.5,8.9,1.72,1.89,-0.09
Pavo cristatus,242110591,20,41.38,25,22.8,12.2,11.02,9.76,10.39,1.66,1.87,-0.11
Pavo cristatus,446177451,39.56,68.007,37.165,22.8,12.2,13.26,12.99,13.12,1.83,1.87,-0.02
Pavo cristatus,65754231,38.25,75.117,45.305,22.8,12.2,11.61,10.3,10.96,1.66,1.87,-0.11
Pavo cristatus,641454826,28.78,49.924,31.314,22.8,12.2,13.14,11.21,12.18,1.59,1.87,-0.15
Pavo cristatus,129825211,69.93,154.008,97.001,22.8,12.2,10.35,8.79,9.57,1.59,1.87,-0.15
Pavo cristatus,463215981,42.32,98.103,54.169,22.8,12.2,9.84,9.53,9.68,1.81,1.87,-0.03
Pavo cristatus,523806121,168.67,298.077,190.163,22.8,12.2,12.9,10.82,11.86,1.57,1.87,-0.16
Pavo cristatus,555401441,90.24,153,92.195,22.8,12.2,13.45,11.94,12.69,1.66,1.87,-0.11
Pavo cristatus,45261111,35.57,65.899,39.008,22.8,12.2,12.31,11.12,11.71,1.69,1.87,-0.1
Pavo cristatus,312297381,32.54,56.976,33.08,22.8,12.2,13.02,12,12.51,1.72,1.87,-0.08
Pavo cristatus,366211551,64.85,102,77.002,22.8,12.2,14.49,10.27,12.38,1.32,1.87,-0.29
Pavo cristatus,588077221,40,66.807,43.026,22.8,12.2,13.65,11.34,12.5,1.55,1.87,-0.17
Pavo cristatus,49978001,81.25,125.936,82.638,22.8,12.2,14.71,12,13.35,1.52,1.87,-0.18
Pavo cristatus,146980731,115.75,200.42,131.126,22.8,12.2,13.17,10.77,11.97,1.53,1.87,-0.18
Pavo cristatus,443166341,178.14,301.988,188.68,22.8,12.2,13.45,11.52,12.48,1.6,1.87,-0.14
Pavo cristatus,204508321,48.26,75.909,44.654,22.8,12.2,14.5,13.19,13.84,1.7,1.87,-0.09
Pavo cristatus,618254802,122.64,223.081,143.028,22.8,12.2,12.53,10.46,11.5,1.56,1.87,-0.17
Pavo cristatus,557126561,82.14,167.263,99.005,22.8,12.2,11.2,10.12,10.66,1.69,1.87,-0.1
Pavo cristatus,318712591,56.35,120.438,72.258,22.8,12.2,10.67,9.51,10.09,1.67,1.87,-0.11
Pitta brachyura,221183211,99.01,213.318,105.076,13.5,7.9,6.27,7.44,6.85,2.03,1.71,0.19
Pitta brachyura,627679102,118.34,215.615,141.057,13.5,7.9,7.41,6.63,7.02,1.53,1.71,-0.11
Pitta brachyura,383055321,82.1,154.729,87.207,13.5,7.9,7.16,7.44,7.3,1.77,1.71,0.04
Pitta brachyura,629431715,84.95,196.596,102.753,13.5,7.9,5.83,6.53,6.18,1.91,1.71,0.12
Pitta brachyura,88247981,112.52,236.178,127.016,13.5,7.9,6.43,7,6.71,1.86,1.71,0.09
Pitta brachyura,636530514,91.02,204.793,109,13.5,7.9,6,6.6,6.3,1.88,1.71,0.1
Pitta brachyura,633383705,100,206.737,107.836,13.5,7.9,6.53,7.33,6.93,1.92,1.71,0.12
Pitta brachyura,518567611,95.67,192.51,104,13.5,7.9,6.71,7.27,6.99,1.85,1.71,0.08
Pitta brachyura,626373925,131.46,234.077,143.087,13.5,7.9,7.58,7.26,7.42,1.64,1.71,-0.04
Pitta brachyura,613799467,116.54,212.009,114,13.5,7.9,7.42,8.08,7.75,1.86,1.71,0.09
Pitta brachyura,213315521,140.01,289.772,153.013,13.5,7.9,6.52,7.23,6.88,1.89,1.71,0.11
Pitta brachyura,631140511,80.43,169.307,92.65,13.5,7.9,6.41,6.86,6.64,1.83,1.71,0.07
Pitta brachyura,627769994,93.5,196.573,101.272,13.5,7.9,6.42,7.29,6.86,1.94,1.71,0.14
Pitta brachyura,343352071,57.06,118.67,63.675,13.5,7.9,6.49,7.08,6.79,1.86,1.71,0.09
Pitta brachyura,640148225,88.19,156.924,91.679,13.5,7.9,7.59,7.6,7.59,1.71,1.71,0
Pitta brachyura,636755938,92.66,196.255,104.043,13.5,7.9,6.37,7.04,6.7,1.89,1.71,0.1
Zosterops palpebrosus,309343471,69.61,153.056,68.264,6.9,2.8,3.14,2.86,3,2.24,2.46,-0.09
Zosterops palpebrosus,85104421,55.49,113.623,56.009,6.9,2.8,3.37,2.77,3.07,2.03,2.46,-0.18
Zosterops palpebrosus,612286200,88.26,147.526,85.381,6.9,2.8,4.13,2.89,3.51,1.73,2.46,-0.3
Zosterops palpebrosus,410497321,68.63,141.296,73.269,6.9,2.8,3.35,2.62,2.99,1.93,2.46,-0.22
Zosterops palpebrosus,171459191,50.58,105.106,47.264,6.9,2.8,3.32,3,3.16,2.22,2.46,-0.1
Zosterops palpebrosus,623318022,42.69,91.122,37.878,6.9,2.8,3.23,3.16,3.19,2.41,2.46,-0.02
Zosterops palpebrosus,301779461,70.52,154.251,66.387,6.9,2.8,3.15,2.97,3.06,2.32,2.46,-0.06
Zosterops palpebrosus,244299851,51.9,124.102,59.424,6.9,2.8,2.89,2.45,2.67,2.09,2.46,-0.15
Zosterops palpebrosus,629128181,75.02,160.612,73.751,6.9,2.8,3.22,2.85,3.04,2.18,2.46,-0.12
Zosterops palpebrosus,368494851,67.07,141.466,75.186,6.9,2.8,3.27,2.5,2.88,1.88,2.46,-0.24
Zosterops palpebrosus,624186296,63.77,137.615,67.507,6.9,2.8,3.2,2.65,2.92,2.04,2.46,-0.17
Zosterops palpebrosus,624186296,65.43,139.556,57.306,6.9,2.8,3.24,3.2,3.22,2.44,2.46,-0.01
Zosterops palpebrosus,175642821,43.45,105.311,50.522,6.9,2.8,2.85,2.41,2.63,2.08,2.46,-0.15
Zosterops palpebrosus,504530271,55.76,115.603,55.032,6.9,2.8,3.33,2.84,3.08,2.1,2.46,-0.15
Zosterops palpebrosus,171367751,52.75,116.393,49.216,6.9,2.8,3.13,3,3.06,2.36,2.46,-0.04
Zosterops palpebrosus,108667731,52.42,123.803,50.289,6.9,2.8,2.92,2.92,2.92,2.46,2.46,0
Zosterops palpebrosus,108667731,56.22,115.354,52.652,6.9,2.8,3.36,2.99,3.18,2.19,2.46,-0.11
Zosterops palpebrosus,638402597,55.99,113.239,54.269,6.9,2.8,3.41,2.89,3.15,2.09,2.46,-0.15
Zosterops palpebrosus,301779561,43.92,92.913,40.213,6.9,2.8,3.26,3.06,3.16,2.31,2.46,-0.06
Zosterops palpebrosus,205942051,57.97,134.852,62.394,6.9,2.8,2.97,2.6,2.78,2.16,2.46,-0.12
Corvus macrorhynchos,330388981,61.33,241.531,159.154,42.3,21.9,10.74,8.44,9.59,1.52,1.93,-0.21
Corvus macrorhynchos,170810991,54.54,185.691,132.024,42.3,21.9,12.42,9.05,10.73,1.41,1.93,-0.27
Corvus macrorhynchos,637195623,144,457.232,304.199,42.3,21.9,13.32,10.37,11.84,1.5,1.93,-0.22
Corvus macrorhynchos,215348391,44.98,163.348,116.501,42.3,21.9,11.65,8.46,10.05,1.4,1.93,-0.27
Corvus macrorhynchos,205939641,85.28,314.006,174.072,42.3,21.9,11.49,10.73,11.11,1.8,1.93,-0.07
Corvus macrorhynchos,352186851,71.68,288.522,148.273,42.3,21.9,10.51,10.59,10.55,1.95,1.93,0.01
Corvus macrorhynchos,171931271,54.04,212.144,139.09,42.3,21.9,10.77,8.51,9.64,1.53,1.93,-0.21
Corvus macrorhynchos,406304531,73.11,275,167.693,42.3,21.9,11.25,9.55,10.4,1.64,1.93,-0.15
Corvus macrorhynchos,593651011,67.91,233.002,142,42.3,21.9,12.33,10.47,11.4,1.64,1.93,-0.15
Corvus macrorhynchos,206015741,48.87,200.012,121.004,42.3,21.9,10.33,8.84,9.59,1.65,1.93,-0.14
Corvus macrorhynchos,570854491,94.2,317.682,181.86,42.3,21.9,12.54,11.34,11.94,1.75,1.93,-0.1
Corvus macrorhynchos,204389231,44.34,201.42,109.423,42.3,21.9,9.31,8.87,9.09,1.84,1.93,-0.05
Corvus macrorhynchos,204280071,38.51,149.164,83.241,42.3,21.9,10.92,10.13,10.53,1.79,1.93,-0.07
Corvus macrorhynchos,612159426,46.02,177.553,96.13,42.3,21.9,10.96,10.49,10.72,1.85,1.93,-0.04
Corvus macrorhynchos,205051981,97.33,384.293,237.008,42.3,21.9,10.71,8.99,9.85,1.62,1.93,-0.16
Corvus macrorhynchos,626869029,47.38,161.152,93.005,42.3,21.9,12.44,11.16,11.8,1.73,1.93,-0.1
Corvus macrorhynchos,556779961,51.67,171.143,117.068,42.3,21.9,12.77,9.67,11.22,1.46,1.93,-0.24
Picus chlorolophus,638147662,57.78,191.908,72,20.6,6.6,6.2,5.26,5.73,2.65,3.12,-0.15
Picus chlorolophus,232885601,57.47,179.234,67,20.6,6.6,6.61,5.69,6.15,2.69,3.12,-0.14
Picus chlorolophus,631627738,56.8,204.636,70.045,20.6,6.6,5.72,5.35,5.53,2.92,3.12,-0.06
Picus chlorolophus,240195791,46.3,153.307,54.004,20.6,6.6,6.22,5.66,5.94,2.84,3.12,-0.09
Picus chlorolophus,56990401,46.43,179.961,64.031,20.6,6.6,5.32,4.79,5.05,2.81,3.12,-0.1
Picus chlorolophus,97484851,139.73,475.421,193.01,20.6,6.6,6.05,4.78,5.42,2.46,3.12,-0.21
Picus chlorolophus,615284272,48.62,154.029,74.733,20.6,6.6,6.5,4.29,5.4,2.06,3.12,-0.34
Picus chlorolophus,543915461,57.58,167.386,62.434,20.6,6.6,7.09,6.09,6.59,2.68,3.12,-0.14
Picus chlorolophus,527736751,53.39,206.306,80.159,20.6,6.6,5.33,4.4,4.86,2.57,3.12,-0.18
Picus chlorolophus,537783091,51.19,233.568,88,20.6,6.6,4.51,3.84,4.17,2.65,3.12,-0.15
Picus chlorolophus,194862621,57.89,172.569,61.774,20.6,6.6,6.91,6.19,6.55,2.79,3.12,-0.1
Picus chlorolophus,89715001,41.02,129.321,47.077,20.6,6.6,6.53,5.75,6.14,2.75,3.12,-0.12
Picus chlorolophus,631627738,54.94,206.679,69.73,20.6,6.6,5.48,5.2,5.34,2.96,3.12,-0.05
Picus chlorolophus,610310870,41.89,127.59,45.905,20.6,6.6,6.76,6.02,6.39,2.78,3.12,-0.11
Picus chlorolophus,623356739,67.33,208.722,74.465,20.6,6.6,6.65,5.97,6.31,2.8,3.12,-0.1
Picus chlorolophus,618201739,77.22,267.24,94.673,20.6,6.6,5.95,5.38,5.67,2.82,3.12,-0.1
Picus chlorolophus,240978121,56.54,171.094,66.009,20.6,6.6,6.81,5.65,6.23,2.59,3.12,-0.17
Picus chlorolophus,362856381,41.13,147.872,51.658,20.6,6.6,5.73,5.25,5.49,2.86,3.12,-0.08
Arachnothera longirostra,88247261,63.01,400.979,48.765,34.3,3.8,5.39,4.91,5.15,8.22,9.03,-0.09
Arachnothera longirostra,503551821,82.54,500.12,61.4,34.3,3.8,5.66,5.11,5.38,8.15,9.03,-0.1
Arachnothera longirostra,147878251,44.38,259.11,33.015,34.3,3.8,5.88,5.11,5.49,7.85,9.03,-0.13
Arachnothera longirostra,356106711,85.03,514.191,69.051,34.3,3.8,5.67,4.68,5.18,7.45,9.03,-0.18
Arachnothera longirostra,614086352,62.98,419.734,52.24,34.3,3.8,5.15,4.58,4.86,8.03,9.03,-0.11
Arachnothera longirostra,647062066,63,336.501,41.012,34.3,3.8,6.42,5.84,6.13,8.2,9.03,-0.09
Arachnothera longirostra,627726891,83.85,487.988,65,34.3,3.8,5.89,4.9,5.4,7.51,9.03,-0.17
Arachnothera longirostra,136528001,70,590.093,63.953,34.3,3.8,4.07,4.16,4.11,9.23,9.03,0.02
Arachnothera longirostra,593198051,49.59,302,41,34.3,3.8,5.64,4.6,5.12,7.36,9.03,-0.18
Arachnothera longirostra,520577731,71.77,595.279,62.128,34.3,3.8,4.14,4.39,4.26,9.58,9.03,0.06
Arachnothera longirostra,490266251,73.01,452,68.007,34.3,3.8,5.54,4.08,4.81,6.65,9.03,-0.26
Ducula badia,328360841,61.19,91.831,49.932,14.6,6.2,9.73,7.6,8.66,1.84,2.35,-0.22
Ducula badia,448876751,69.96,103.721,53.724,14.6,6.2,9.85,8.07,8.96,1.93,2.35,-0.18
Ducula badia,122655451,49.22,92.451,49.336,14.6,6.2,7.77,6.18,6.98,1.87,2.35,-0.2
Ducula badia,617132889,34.36,56.414,27.409,14.6,6.2,8.89,7.77,8.33,2.06,2.35,-0.13
Ducula badia,181847891,47.63,80.435,38.854,14.6,6.2,8.65,7.6,8.12,2.07,2.35,-0.12
Ducula badia,640457380,81.19,137.5,67.84,14.6,6.2,8.62,7.42,8.02,2.03,2.35,-0.14
Ducula badia,304449471,62.08,87.743,40.609,14.6,6.2,10.33,9.48,9.9,2.16,2.35,-0.08
Ducula badia,127950491,46.99,68.219,29.43,14.6,6.2,10.06,9.9,9.98,2.32,2.35,-0.02
Ducula badia,635824084,26.16,49.903,20.774,14.6,6.2,7.65,7.81,7.73,2.4,2.35,0.02
Ducula badia,618876345,20.27,36.673,14.806,14.6,6.2,8.07,8.49,8.28,2.48,2.35,0.05
Ducula badia,618876345,22,37.452,16.617,14.6,6.2,8.57,8.21,8.39,2.25,2.35,-0.04
Ducula badia,332825281,77.19,126.716,52.202,14.6,6.2,8.89,9.17,9.03,2.43,2.35,0.03
Ducula badia,206016151,58.05,85.207,37.483,14.6,6.2,9.95,9.6,9.78,2.27,2.35,-0.03
Ducula badia,206013821,85.87,144.17,70.434,14.6,6.2,8.7,7.56,8.13,2.05,2.35,-0.13
Ducula badia,204417411,48.94,78.532,36.235,14.6,6.2,9.1,8.37,8.74,2.17,2.35,-0.08
Dicaeum concolor,608541518,93.34,221.741,103.35,7.1,3,2.99,2.71,2.85,2.15,2.37,-0.09
Dicaeum concolor,315349381,96.8,221.923,110.041,7.1,3,3.1,2.64,2.87,2.02,2.37,-0.15
Dicaeum concolor,627424668,73.69,154.564,83.57,7.1,3,3.39,2.65,3.02,1.85,2.37,-0.22
Dicaeum concolor,612774032,82.68,202.418,97.185,7.1,3,2.9,2.55,2.73,2.08,2.37,-0.12
Dicaeum concolor,350185721,81.89,203.48,91.665,7.1,3,2.86,2.68,2.77,2.22,2.37,-0.06
Dicaeum concolor,610652881,93.63,211.596,95.296,7.1,3,3.14,2.95,3.04,2.22,2.37,-0.06
Dicaeum concolor,626860170,80.51,187.74,96.297,7.1,3,3.04,2.51,2.78,1.95,2.37,-0.18
Dicaeum concolor,616712764,70.16,151.212,74.216,7.1,3,3.29,2.84,3.07,2.04,2.37,-0.14
Dicaeum concolor,614891709,71.53,170.368,80.103,7.1,3,2.98,2.68,2.83,2.13,2.37,-0.1
Dicaeum concolor,627688394,69.22,160.031,77.389,7.1,3,3.07,2.68,2.88,2.07,2.37,-0.13
Dicaeum concolor,626080049,93.67,214.049,98,7.1,3,3.11,2.87,2.99,2.18,2.37,-0.08
Dicaeum concolor,626078061,115.39,279.029,126.016,7.1,3,2.94,2.75,2.84,2.21,2.37,-0.06
Dicaeum concolor,306608331,100.28,245.319,118.652,7.1,3,2.9,2.54,2.72,2.07,2.37,-0.13
Dicaeum concolor,204704511,84.33,222.767,90.006,7.1,3,2.69,2.81,2.75,2.48,2.37,0.05
Dicaeum concolor,233297721,76.84,179.101,81.049,7.1,3,3.05,2.84,2.95,2.21,2.37,-0.07
Dicaeum concolor,644991760,66.28,171.898,83.524,7.1,3,2.74,2.38,2.56,2.06,2.37,-0.13
Pericrocotus flammeus,244492271,46.21,98.999,51.735,10.3,5.4,4.81,4.82,4.82,1.91,1.91,0
Pericrocotus flammeus,633350622,97.44,149.734,94.191,10.3,5.4,6.7,5.59,6.14,1.59,1.91,-0.17
Pericrocotus flammeus,620173844,58.58,104.501,59.002,10.3,5.4,5.77,5.36,5.57,1.77,1.91,-0.07
Pericrocotus flammeus,620019490,61.46,128.269,69.507,10.3,5.4,4.94,4.77,4.85,1.85,1.91,-0.03
Pericrocotus flammeus,619563199,55.07,92.532,52.967,10.3,5.4,6.13,5.61,5.87,1.75,1.91,-0.08
Pericrocotus flammeus,614100097,67.19,118.439,58.143,10.3,5.4,5.84,6.24,6.04,2.04,1.91,0.07
Pericrocotus flammeus,613455726,65.27,118.851,72.91,10.3,5.4,5.66,4.83,5.25,1.63,1.91,-0.15
Pericrocotus flammeus,204671901,41.12,75.058,48.407,10.3,5.4,5.64,4.59,5.12,1.55,1.91,-0.19
Pericrocotus flammeus,626891542,60,111.405,61.004,10.3,5.4,5.55,5.31,5.43,1.83,1.91,-0.04
Pericrocotus flammeus,89085131,69.59,127.765,67.416,10.3,5.4,5.61,5.57,5.59,1.9,1.91,-0.01
Pericrocotus flammeus,619384239,56.48,114.475,59.489,10.3,5.4,5.08,5.13,5.1,1.92,1.91,0.01
Pericrocotus flammeus,625649909,59.93,103.557,58.371,10.3,5.4,5.96,5.54,5.75,1.77,1.91,-0.07
Pericrocotus flammeus,410413971,54.52,124.042,60.351,10.3,5.4,4.53,4.88,4.7,2.06,1.91,0.08
Pericrocotus flammeus,620165026,64.75,118.707,67.002,10.3,5.4,5.62,5.22,5.42,1.77,1.91,-0.07
Pericrocotus flammeus,387881241,72.83,144.765,75.003,10.3,5.4,5.18,5.24,5.21,1.93,1.91,0.01
Copsychus saularis,615166166,83.79,205.502,84.293,15,5.8,6.12,5.77,5.94,2.44,2.59,-0.06
Copsychus saularis,166748771,94.6,214.928,83.199,15,5.8,6.6,6.59,6.6,2.58,2.59,0
Copsychus saularis,301480371,97.41,217,81.514,15,5.8,6.73,6.93,6.83,2.66,2.59,0.03
Copsychus saularis,589259141,129.52,287.647,109.573,15,5.8,6.75,6.86,6.81,2.63,2.59,0.02
Copsychus saularis,366773521,80.72,166.001,66.047,15,5.8,7.29,7.09,7.19,2.51,2.59,-0.03
Copsychus saularis,585268711,102.75,220.645,93.012,15,5.8,6.98,6.41,6.7,2.37,2.59,-0.08
Copsychus saularis,473492761,115.82,219.049,95.512,15,5.8,7.93,7.03,7.48,2.29,2.59,-0.11
Copsychus saularis,609391902,117.57,274.182,119.324,15,5.8,6.43,5.71,6.07,2.3,2.59,-0.11
Copsychus saularis,571765821,90.78,186.271,92.505,15,5.8,7.31,5.69,6.5,2.01,2.59,-0.22
Copsychus saularis,260591961,72.6,163.581,68.334,15,5.8,6.66,6.16,6.41,2.39,2.59,-0.07
Copsychus saularis,636215076,46.14,92.72,44.173,15,5.8,7.46,6.06,6.76,2.1,2.59,-0.19
Copsychus saularis,602060361,80.1,180.429,76.357,15,5.8,6.66,6.08,6.37,2.36,2.59,-0.09
Copsychus saularis,504282901,94.98,210.115,89.723,15,5.8,6.78,6.14,6.46,2.34,2.59,-0.09
Copsychus saularis,645012105,64.38,142.77,59.034,15,5.8,6.76,6.33,6.54,2.42,2.59,-0.06
Copsychus saularis,629431849,91.37,180.624,71.063,15,5.8,7.59,7.46,7.52,2.54,2.59,-0.02
Pellorneum ruficeps,85328841,102.62,164.336,78.104,9.7,4.2,6.06,5.52,5.79,2.1,2.31,-0.09
Pellorneum ruficeps,143314281,78.5,143.671,73.744,9.7,4.2,5.3,4.47,4.89,1.95,2.31,-0.16
Pellorneum ruficeps,612864600,70,131.597,61.004,9.7,4.2,5.16,4.82,4.99,2.16,2.31,-0.07
Pellorneum ruficeps,76492111,99.64,175.277,87.803,9.7,4.2,5.51,4.77,5.14,2,2.31,-0.14
