Species,Photo_ML _ID,Eye_Measurement _pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Upupa epops,611784359,53.75,461.953,63.569,46.9,6.3,5.46,5.33,5.39,7.27,7.44,-0.02
Upupa epops,623384511,61.01,474.102,94.557,46.9,6.3,6.03,4.06,5.05,5.01,7.44,-0.33
Upupa epops,625108276,52,395.601,64.008,46.9,6.3,6.16,5.12,5.64,6.18,7.44,-0.17
Upupa epops,477537571,61.51,493.024,82.855,46.9,6.3,5.85,4.68,5.26,5.95,7.44,-0.2
Upupa epops,633706001,33.43,283.214,44.102,46.9,6.3,5.54,4.78,5.16,6.42,7.44,-0.14
Upupa epops,636356868,27.1,254.419,37.483,46.9,6.3,5,4.56,4.78,6.79,7.44,-0.09
Dendronanthus indicus,21136311,60.12,136.348,50.018,11.1,3.4,4.89,4.09,4.49,2.73,3.26,-0.17
Dendronanthus indicus,629905861,48.99,114.696,43.156,11.1,3.4,4.74,3.86,4.3,2.66,3.26,-0.19
Dendronanthus indicus,84186771,73.02,161.426,62.962,11.1,3.4,5.02,3.94,4.48,2.56,3.26,-0.21
Dendronanthus indicus,74187931,66.7,146.377,55.536,11.1,3.4,5.06,4.08,4.57,2.64,3.26,-0.19
Dendronanthus indicus,221676551,61.5,160.007,56,11.1,3.4,4.27,3.73,4,2.86,3.26,-0.12
Dendronanthus indicus,634325491,81.44,203.368,76.544,11.1,3.4,4.44,3.62,4.03,2.66,3.26,-0.19
Dendronanthus indicus,633659865,67.77,159.803,56.004,11.1,3.4,4.71,4.11,4.41,2.85,3.26,-0.13
Dendronanthus indicus,193036871,67.01,161.346,54.692,11.1,3.4,4.61,4.17,4.39,2.95,3.26,-0.1
Dendronanthus indicus,634469334,55.68,124.367,41.816,11.1,3.4,4.97,4.53,4.75,2.97,3.26,-0.09
Dendronanthus indicus,617863442,55.67,138.091,46.03,11.1,3.4,4.47,4.11,4.29,3,3.26,-0.08
Dendronanthus indicus,618148657,51.53,141.421,44.637,11.1,3.4,4.04,3.93,3.98,3.17,3.26,-0.03
Dendronanthus indicus,627757421,65.06,170.165,62.227,11.1,3.4,4.24,3.55,3.9,2.73,3.26,-0.16
Dendronanthus indicus,618654852,92.14,190.206,80.231,11.1,3.4,5.38,3.9,4.64,2.37,3.26,-0.27
Dendronanthus indicus,627456735,78.06,170.454,71.449,11.1,3.4,5.08,3.71,4.4,2.39,3.26,-0.27
Dendronanthus indicus,622251174,45.22,90.772,32.347,11.1,3.4,5.53,4.75,5.14,2.81,3.26,-0.14
Dendronanthus indicus,179989021,76.87,182.242,69.522,11.1,3.4,4.68,3.76,4.22,2.62,3.26,-0.2
Dendronanthus indicus,40526351,62.25,126.261,41.399,11.1,3.4,5.47,5.11,5.29,3.05,3.26,-0.07
Dendronanthus indicus,228872321,69.23,162.5,55.211,11.1,3.4,4.73,4.26,4.5,2.94,3.26,-0.1
Dendronanthus indicus,623625557,61.36,165.711,57.064,11.1,3.4,4.11,3.66,3.88,2.9,3.26,-0.11
Dendronanthus indicus,605113121,47.53,112.716,44.711,11.1,3.4,4.68,3.61,4.15,2.52,3.26,-0.23
Chloropsis aurifrons,385179391,81.79,226.294,100.52,14.9,5,5.39,4.07,4.73,2.25,2.98,-0.24
Chloropsis aurifrons,275232421,52.71,170.95,74.545,14.9,5,4.59,3.54,4.07,2.29,2.98,-0.23
Chloropsis aurifrons,402921701,47.36,145.496,60.745,14.9,5,4.85,3.9,4.37,2.4,2.98,-0.2
Chloropsis aurifrons,222505301,75.61,207.781,89.269,14.9,5,5.42,4.23,4.83,2.33,2.98,-0.22
Chloropsis aurifrons,465479051,71.68,207.825,84.404,14.9,5,5.14,4.25,4.69,2.46,2.98,-0.17
Chloropsis aurifrons,616160417,61.65,176.089,66.219,14.9,5,5.22,4.66,4.94,2.66,2.98,-0.11
Chloropsis aurifrons,613710278,61.72,170.115,68.942,14.9,5,5.41,4.48,4.94,2.47,2.98,-0.17
Chloropsis aurifrons,116826041,67.32,189.842,75.24,14.9,5,5.28,4.47,4.88,2.52,2.98,-0.15
Chloropsis aurifrons,443058581,51.78,153.638,61,14.9,5,5.02,4.24,4.63,2.52,2.98,-0.15
Chloropsis aurifrons,541421931,60.09,171.421,62.308,14.9,5,5.22,4.82,5.02,2.75,2.98,-0.08
Chloropsis aurifrons,349093121,67.73,187.171,76.007,14.9,5,5.39,4.46,4.92,2.46,2.98,-0.17
Chloropsis aurifrons,629431900,59.5,176.918,69,14.9,5,5.01,4.31,4.66,2.56,2.98,-0.14
Chloropsis aurifrons,85685241,62.27,168.582,64.537,14.9,5,5.5,4.82,5.16,2.61,2.98,-0.12
Chloropsis aurifrons,631390891,54,143.031,59.414,14.9,5,5.63,4.54,5.08,2.41,2.98,-0.19
Chloropsis aurifrons,311573011,70.56,198.003,78.012,14.9,5,5.31,4.52,4.92,2.54,2.98,-0.15
Chloropsis aurifrons,629431901,61.02,184.128,70.257,14.9,5,4.94,4.34,4.64,2.62,2.98,-0.12
Chloropsis aurifrons,611196254,71.75,214.767,80.994,14.9,5,4.98,4.43,4.7,2.65,2.98,-0.11
Chloropsis aurifrons,450639071,56.18,158.07,64.031,14.9,5,5.3,4.39,4.84,2.47,2.98,-0.17
Chloropsis aurifrons,204721021,64,181.025,89.022,14.9,5,5.27,3.59,4.43,2.03,2.98,-0.32
Chloropsis aurifrons,624503243,73.37,222.946,85.428,14.9,5,4.9,4.29,4.6,2.61,2.98,-0.12
Chloropsis aurifrons,338025651,111.04,268,113.04,14.9,5,6.17,4.91,5.54,2.37,2.98,-0.2
Chloropsis aurifrons,641471704,63.28,200.808,82.28,14.9,5,4.7,3.85,4.27,2.44,2.98,-0.18
Chloropsis aurifrons,634602865,55.49,158.433,60.638,14.9,5,5.22,4.58,4.9,2.61,2.98,-0.12
Motacilla cinerea,281090031,55,139.638,51.923,10.8,3,4.25,3.18,3.72,2.69,3.6,-0.25
Motacilla cinerea,635942575,38,93.705,31.754,10.8,3,4.38,3.59,3.99,2.95,3.6,-0.18
Motacilla cinerea,371588201,66.27,162.012,56.08,10.8,3,4.42,3.55,3.98,2.89,3.6,-0.2
Motacilla cinerea,181367211,68.86,165.551,58.138,10.8,3,4.49,3.55,4.02,2.85,3.6,-0.21
Motacilla cinerea,542425811,42.64,113.192,45.044,10.8,3,4.07,2.84,3.45,2.51,3.6,-0.3
Motacilla cinerea,181601131,49.76,127.006,43,10.8,3,4.23,3.47,3.85,2.95,3.6,-0.18
Motacilla cinerea,105267561,75.03,224.206,58.592,10.8,3,3.61,3.84,3.73,3.83,3.6,0.06
Motacilla cinerea,624580169,60.43,154.236,60.67,10.8,3,4.23,2.99,3.61,2.54,3.6,-0.29
Motacilla cinerea,631841276,33.57,93.999,31.878,10.8,3,3.86,3.16,3.51,2.95,3.6,-0.18
Motacilla cinerea,614265516,38.19,102.434,32.921,10.8,3,4.03,3.48,3.75,3.11,3.6,-0.14
Motacilla cinerea,627613405,40.51,110.462,37.357,10.8,3,3.96,3.25,3.61,2.96,3.6,-0.18
Motacilla cinerea,626237296,46.53,131.247,46.43,10.8,3,3.83,3.01,3.42,2.83,3.6,-0.21
